DOI,Title,year,Abstract,semantic_scholar_id,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id
10.3390/epigenomes8020014,Unveiling Gene Interactions in Alzheimer’s Disease by Integrating Genetic and Epigenetic Data with a Network-Based Approach,2024.0,"Alzheimer's Disease (AD) is a complex disease and the leading cause of dementia 
       in older people. We aimed to uncover aspects of AD's pathogenesis that may 
       contribute to drug repurposing efforts by integrating DNA methylation and genetic 
       data. Implementing the network-based tool, a dense module search of genome-wide 
       association studies (dmGWAS), we integrated a large-scale GWAS dataset with DNA 
       methylation data to identify gene network modules associated with AD. Our 
       analysis yielded 286 significant gene network modules. Notably, the foremost 
       module included the BIN1 gene, showing the largest GWAS signal, and the GNAS 
       gene, the most significantly hypermethylated. We conducted Web-based 
       Cell-type-Specific Enrichment Analysis (WebCSEA) on genes within the top 10% of 
       dmGWAS modules, highlighting monocyte as the most significant cell type (p < 5 × 
       10(-12)). Functional enrichment analysis revealed Gene Ontology Biological 
       Process terms relevant to AD pathology (adjusted p < 0.05). Additionally, drug 
       target enrichment identified five FDA-approved targets (p-value = 0.03) for 
       further research. In summary, dmGWAS integration of genetic and epigenetic 
       signals unveiled new gene interactions related to AD, offering promising avenues 
       for future studies.",6975e84d9af84b8f14d50baa92e78501436ee059,https://www.semanticscholar.org/paper/6975e84d9af84b8f14d50baa92e78501436ee059,38651367,PMC11036294,background,False,Epigenomes,101736595
10.1002/mco2.532,Precise prediction of cerebrospinal fluid amyloid beta protein for early Alzheimer's disease detection using multimodal data,2024.0,"Alzheimer's disease (AD) constitutes a neurodegenerative disorder marked by a 
       progressive decline in cognitive function and memory capacity. The accurate 
       diagnosis of this condition predominantly relies on cerebrospinal fluid (CSF) 
       markers, notwithstanding the associated burdens of pain and substantial financial 
       costs endured by patients. This study encompasses subjects exhibiting varying 
       degrees of cognitive impairment, encompassing individuals with subjective 
       cognitive decline, mild cognitive impairment, and dementia, constituting a total 
       sample size of 82 participants. The primary objective of this investigation is to 
       explore the relationships among brain atrophy measurements derived from magnetic 
       resonance imaging, atypical electroencephalography (EEG) patterns, behavioral 
       assessment scales, and amyloid β-protein (Aβ) indicators. The findings of this 
       research reveal that individuals displaying reduced Aβ1-42/Aβ-40 levels exhibit 
       significant atrophy in the frontotemporal lobe, alongside irregularities in 
       various parameters related to EEG frequency characteristics, signal complexity, 
       inter-regional information exchange, and microstates. The study additionally 
       endeavors to estimate Aβ1-42/Aβ-40 content through the application of a random 
       forest algorithm, amalgamating structural data, electrophysiological features, 
       and clinical scales, achieving a remarkable predictive precision of 91.6%. In 
       summary, this study proposes a cost-effective methodology for acquiring CSF 
       markers, thereby offering a valuable tool for the early detection of AD.",20707d37a645d803da889a129aad4a5837202893,https://www.semanticscholar.org/paper/20707d37a645d803da889a129aad4a5837202893,38645663,PMC11027992,background,False,MedComm,101769925
10.1186/s13024-024-00720-0,Gut microbiota-host lipid crosstalk in Alzheimer’s disease: implications for disease progression and therapeutics,2024.0,"Trillions of intestinal bacteria in the human body undergo dynamic 
       transformations in response to physiological and pathological changes. 
       Alterations in their composition and metabolites collectively contribute to the 
       progression of Alzheimer's disease. The role of gut microbiota in Alzheimer's 
       disease is diverse and complex, evidence suggests lipid metabolism may be one of 
       the potential pathways. However, the mechanisms that gut microbiota mediate lipid 
       metabolism in Alzheimer's disease pathology remain unclear, necessitating further 
       investigation for clarification. This review highlights the current understanding 
