Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor,relevance_score,cited_Normalized,impact_Normalized,final_score
Unravelling glioblastoma heterogeneity by means of single-cell RNA sequencing,"Glioblastoma (GBM) is the most invasive and deadliest brain cancer in adults. Its inherent heterogeneity has been designated as the main cause of treatment failure. Thus, a deeper understanding of the diversity that shapes GBM pathobiology is of utmost importance. Single-cell RNA sequencing (scRNA-seq) technologies have begun to uncover the hidden composition of complex tumor ecosystems. Herein, a semi-systematic search of reference literature databases provided all existing publications using scRNA-seq for the investigation of human GBM. We compared and discussed findings from these works to build a more robust and unified knowledge base. All aspects ranging from inter-patient heterogeneity to intra-tumoral organization, cancer stem cell diversity, clonal mosaicism, and the tumor microenvironment (TME) are comprehensively covered in this report. Tumor composition not only differs across patients but also involves a great extent of heterogeneity within itself. Spatial and cellular heterogeneity can reveal tumor evolution dynamics. In addition, the discovery of distinct cell phenotypes might lead to the development of targeted treatment approaches. In conclusion, scRNA-seq expands our knowledge of GBM heterogeneity and helps to unravel putative therapeutic targets.",34902524,,10.1016/j.canlet.2021.12.008,20,Cancer letters,7600053,9.756,0.9801293015480042,0.7892976588628763,0.7759197324414716,0.901121059189672
Unveiling the Dynamics behind Glioblastoma Multiforme Single-Cell Data Heterogeneity,"Glioblastoma Multiforme is a brain tumor distinguished by its aggressiveness. We suggested that this aggressiveness leads single-cell RNA-sequence data (scRNA-seq) to span a representative portion of the cancer attractors domain. This conjecture allowed us to interpret the scRNA-seq heterogeneity as reflecting a representative trajectory within the attractor's domain. We considered factors such as genomic instability to characterize the cancer dynamics through stochastic fixed points. The fixed points were derived from centroids obtained through various clustering methods to verify our method sensitivity. This methodological foundation is based upon sample and time average equivalence, assigning an interpretative value to the data cluster centroids and supporting parameters estimation. We used stochastic simulations to reproduce the dynamics, and our results showed an alignment between experimental and simulated dataset centroids. We also computed the Waddington landscape, which provided a visual framework for validating the centroids and standard deviations as characterizations of cancer attractors. Additionally, we examined the stability and transitions between attractors and revealed a potential interplay between subtypes. These transitions might be related to cancer recurrence and progression, connecting the molecular mechanisms of cancer heterogeneity with statistical properties of gene expression dynamics. Our work advances the modeling of gene expression dynamics and paves the way for personalized therapeutic interventions.",38732140,PMC11084314,10.3390/ijms25094894,0,International journal of molecular sciences,101092791,6.208,0.9764904975891113,0.0,0.41471571906354515,0.6688374423661758
Single-cell RNA sequencing reveals intra-tumoral heterogeneity of glioblastoma and a pro-tumor subset of tumor-associated macrophages characterized by EZH2 overexpression,"Background:Glioblastoma (GBM) is a highly heterogeneous disease with poor clinical outcome.Aim:To comprehensively dissect molecular landscape of GBM and heterogeneous distribution and potential role of Enhancer of zeste homolog 2 (EZH2) in tumor microenvironment (TME).Methods:Single-cell RNA sequencing (scRNA-seq) analysis was performed in GBM samples from 8 patients. Deconvolution analysis, immunofluorescence (IF) microscopy, reverse-transcription quantitative polymerase chain reaction (RT-qPCR), colony formation experiments, and Cell Counting Kit-8 (CCK-8) assays were performed to confirmed the potential role of EZH2 in TME cells.Results:Malignant cells exhibited remarkable heterogeneity in abnormal metabolic patterns. A mesenchymal-2-like (MES2-like) GBM subcluster with glial-immune dual feature was firstly discovered, which were associated with highly activated hallmark pathways, immune evasion associated transcription factor (IRF8), and poor survival. The oncogene, EZH2, was heterogeneously expressed in malignant cells and immune cells consistent with proliferative genes, cell-cycle transcription factors, and similar activated hallmark pathways. In a tumor-associated macrophages (TAMs) subset (macrophage.3), EZH2 was highly expressed with similar changes of transcriptomic dynamics with cell-cycle genes and macrophages M2-phetotype genes. In addition, the subset tightly interacted with malignant cells. Deconvolution analysis showed increased abundance of the subset in GBM compared to low-grade glioma (LGG) and significant association with worse prognosis. Functional verification experiments confirmed the pro-tumor role of TAMs with EZH2 overexpression in GBM.Conclusions:Our study illustrated a MES2-like GBM subcluster characterized by glial-immune dual feature and highlighted the pro-tumor role of a TAMs subset characterized by EZH2 overexpression.",36057370,,10.1016/j.bbadis.2022.166534,4,Biochimica et biophysica acta. Molecular basis of disease,101731730,6.633,0.9398029446601868,0.48494983277591974,0.4916387959866221,0.7591994925486204
"Single-cell RNA sequencing reveals tumor heterogeneity, microenvironment, and drug-resistance mechanisms of recurrent glioblastoma","Glioblastomas are highly heterogeneous brain tumors. Despite the availability of standard treatment for glioblastoma multiforme (GBM), i.e., Stupp protocol, which involves surgical resection followed by radiotherapy and chemotherapy, glioblastoma remains refractory to treatment and recurrence is inevitable. Moreover, the biology of recurrent glioblastoma remains unclear. Increasing evidence has shown that intratumoral heterogeneity and the tumor microenvironment contribute to therapeutic resistance. However, the interaction between intracellular heterogeneity and drug resistance in recurrent GBMs remains controversial. The aim of this study was to map the transcriptome landscape of cancer cells and the tumor heterogeneity and tumor microenvironment in recurrent and drug-resistant GBMs at a single-cell resolution and further explore the mechanism of drug resistance of GBMs. We analyzed six tumor tissue samples from three patients with primary GBM and three patients with recurrent GBM in which recurrence and drug resistance developed after treatment with the standard Stupp protocol using single-cell RNA sequencing. Using unbiased clustering, nine major cell clusters were identified. Upregulation of the expression of stemness-related and cell-cycle-related genes was observed in recurrent GBM cells. Compared with the initial GBM tissues, recurrent GBM tissues showed a decreased proportion of microglia, consistent with previous reports. Finally, vascular endothelial growth factor A expression and the blood-brain barrier permeability were high, and the O6-methylguanine DNA methyltransferase-related signaling pathway was activated in recurrent GBM. Our results delineate the single-cell map of recurrent glioblastoma, tumor heterogeneity, tumor microenvironment, and drug-resistance mechanisms, providing new insights into treatment strategies for recurrent glioblastomas.",36853018,PMC10236634,10.1111/cas.15773,5,Cancer science,101168776,6.518,0.934634268283844,0.5183946488294314,0.47491638795986624,0.7594427683281659
Characterization of tumor microenvironment in glioblastoma multiforme identifies ITGB2 as a key immune and stromal related regulator in glial cell types,"Glioblastoma multiforme (GBM) is the most aggressive form of brain tumor characterized by inter and intra-tumor heterogeneity and complex tumor microenvironment. To uncover the molecular targets in this milieu, we systematically identified immune and stromal interactions at the glial cell type level that leverages on RNA-sequencing data of GBM patients from The Cancer Genome Atlas. The perturbed genes between the high vs low immune and stromal scored patients were subjected to weighted gene co-expression network analysis to identify the glial cell type specific networks in immune and stromal infiltrated patients. The intramodular connectivity analysis identified the highly connected genes in each module. Combining it with univariable and multivariable prognostic analysis revealed common vital gene ITGB2, between the immune and stromal infiltrated patients enriched in microglia and newly formed oligodendrocytes. We found following unique hub genes in immune infiltrated patients; COL6A3 (microglia), ITGAM (oligodendrocyte precursor cells), TNFSF9 (microglia), and in stromal infiltrated patients, SERPINE1 (microglia) and THBS1 (newly formed oligodendrocytes, oligodendrocyte precursor cells). To validate these hub genes, we used external GBM patient single cell RNA-sequencing dataset and this identified ITGB2 to be significantly enriched in microglia, newly formed oligodendrocytes, T-cells, macrophages and adipocyte cell types in both immune and stromal datasets. The tumor infiltration analysis of ITGB2 showed that it is correlated with myeloid dendritic cells, macrophages, monocytes, neutrophils, B-cells, fibroblasts and adipocytes. Overall, the systematic screening of tumor microenvironment components at glial cell types uncovered ITGB2 as a potential target in primary GBM.",37660569,,10.1016/j.compbiomed.2023.107433,3,Computers in biology and medicine,1250250,6.698,0.9304582476615906,0.4280936454849498,0.4983277591973244,0.7435592295334092
"""Zooming in"" on Glioblastoma: Understanding Tumor Heterogeneity and its Clinical Implications in the Era of Single-Cell Ribonucleic Acid Sequencing","Glioblastoma (GBM) is the most common primary brain malignancy in adults and one of the most aggressive of all human cancers. It is highly recurrent and treatment-resistant, in large part due to its infiltrative nature and inter- and intratumoral heterogeneity. This heterogeneity entails varying genomic landscapes and cell types within and between tumors and the tumor microenvironment (TME). In GBM, heterogeneity is a driver of treatment resistance, recurrence, and poor prognosis, representing a substantial impediment to personalized medicine. Over the last decade, sequencing technologies have facilitated deeper understanding of GBM heterogeneity by ""zooming in"" progressively further on tumor genomics and transcriptomics. Initial efforts employed bulk ribonucleic acid (RNA) sequencing, which examines composite gene expression of whole tumor specimens. While groundbreaking at the time, this bulk RNAseq masks the crucial contributions of distinct tumor subpopulations to overall gene expression. This work progressed to the use of bulk RNA sequencing in anatomically and spatially distinct tumor subsections, which demonstrated previously underappreciated genomic complexity of GBM. A revolutionary next step forward has been the advent of single-cell RNA sequencing (scRNAseq), which examines gene expression at the single-cell level. scRNAseq has enabled us to understand GBM heterogeneity in unprecedented detail. We review seminal studies in our progression of understanding GBM heterogeneity, with a focus on scRNAseq and the insights that it has provided into understanding the GBM tumor mass, peritumoral space, and TME. We highlight preclinical and clinical implications of this work and consider its potential to impact neuro-oncology and to improve patient outcomes via personalized medicine.",32674143,,10.1093/neuros/nyaa305,9,Neurosurgery,7802914,5.315,0.8987665772438049,0.6555183946488294,0.3712374581939799,0.7446111169148448
Tumor Microenvironment Is Critical for the Maintenance of Cellular States Found in Primary Glioblastomas,"Glioblastoma (GBM), an incurable tumor, remains difficult to model and more importantly to treat due to its genetic/epigenetic heterogeneity and plasticity across cellular states. The ability of current tumor models to recapitulate the cellular states found in primary tumors remains unexplored. To address this issue, we compared single-cell RNA sequencing of tumor cells from 5 patients across four patient-specific glioblastoma stem cell (GSC)-derived model types, including glioma spheres, tumor organoids, glioblastoma cerebral organoids (GLICO), and patient-derived xenografts. We find that GSCs within the GLICO model are enriched for a neural progenitor-like cell subpopulation and recapitulate the cellular states and their plasticity found in the corresponding primary parental tumors. These data demonstrate how the contribution of a neuroanatomically accurate human microenvironment is critical and sufficient for recapitulating the cellular states found in human primary GBMs, a principle that may likely apply to other tumor models. SIGNIFICANCE: It has been unclear how well different patient-derived GBM models are able to recreate the full heterogeneity of primary tumors. Here, we provide a complete transcriptomic characterization of the major model types. We show that the microenvironment is crucial for recapitulating GSC cellular states, highlighting the importance of tumor-host cell interactions.See related commentary by Luo and Weiss, p. 907.This article is highlighted in the In This Issue feature, p. 890.",32253265,PMC10256258,10.1158/2159-8290.CD-20-0057,64,Cancer discovery,101561693,38.272,0.8879840970039368,0.9331103678929766,0.9765886287625418,0.9147302575334658
Cancer biology deciphered by single-cell transcriptomic sequencing,"Tumors are complex ecosystems in which heterogeneous cancer cells interact with their microenvironment composed of diverse immune, endothelial, and stromal cells. Cancer biology had been studied using bulk genomic and gene expression profiling, which however mask the cellular diversity and average the variability among individual molecular programs. Recent advances in single-cell transcriptomic sequencing have enabled a detailed dissection of tumor ecosystems and promoted our understanding of tumorigenesis at single-cell resolution. In the present review, we discuss the main topics of recent cancer studies that have implemented single-cell RNA sequencing (scRNA-seq). To study cancer cells, scRNA-seq has provided novel insights into the cancer stem-cell model, treatment resistance, and cancer metastasis. To study the tumor microenvironment, scRNA-seq has portrayed the diverse cell types and complex cellular states of both immune and non-immune cells interacting with cancer cells, with the promise to discover novel targets for future immunotherapy.",34405376,PMC8901819,10.1007/s13238-021-00868-1,15,Protein & cell,101532368,15.328,0.8873999118804932,0.7525083612040134,0.8996655518394648,0.8628747297369916
Transcriptome analysis reveals tumor microenvironment changes in glioblastoma,"A better understanding of transcriptional evolution of IDH-wild-type glioblastoma may be crucial for treatment optimization. Here, we perform RNA sequencing (RNA-seq) (n = 322 test, n = 245 validation) on paired primary-recurrent glioblastoma resections of patients treated with the current standard of care. Transcriptional subtypes form an interconnected continuum in a two-dimensional space. Recurrent tumors show preferential mesenchymal progression. Over time, hallmark glioblastoma genes are not significantly altered. Instead, tumor purity decreases over time and is accompanied by co-increases in neuron and oligodendrocyte marker genes and, independently, tumor-associated macrophages. A decrease is observed in endothelial marker genes. These composition changes are confirmed by single-cell RNA-seq and immunohistochemistry. An extracellular matrix-associated gene set increases at recurrence and bulk, single-cell RNA, and immunohistochemistry indicate it is expressed mainly by pericytes. This signature is associated with significantly worse survival at recurrence. Our data demonstrate that glioblastomas evolve mainly by microenvironment (re-)organization rather than molecular evolution of tumor cells.",36898379,,10.1016/j.ccell.2023.02.019,32,Cancer cell,101130617,38.585,0.8828325867652893,0.8595317725752508,0.9899665551839465,0.899599217611013
Highly Multiplexed Spatially Resolved Proteomic and Transcriptional Profiling of the Glioblastoma Microenvironment Using Archived Formalin-Fixed Paraffin-Embedded Specimens,"Glioblastoma is a heterogeneous tumor for which effective treatment options are limited and often insufficient. Few studies have examined the intratumoral transcriptional and proteomic heterogeneity of the glioblastoma microenvironment to characterize the spatial distribution of potential molecular and cellular therapeutic immunooncology targets. We applied an integrated multimodal approach comprised of NanoString GeoMx Digital Spatial Profiling, single-cell RNA-seq (scRNA-seq), and expert neuropathologic assessment to characterize archival formalin-fixed paraffin-embedded glioblastoma specimens. Clustering analysis and spatial cluster maps highlighted the intratumoral heterogeneity of each specimen. Mixed cell deconvolution analysis revealed that neoplastic and vascular cells were the prominent cell types throughout each specimen, with macrophages, oligodendrocyte precursors, neurons, astrocytes, and oligodendrocytes present in lower abundance and illustrated the regional distribution of the respective cellular enrichment scores. The spatial resolution of the actionable immunotherapeutic landscape showed that robust B7H3 gene and protein expression was broadly distributed throughout each specimen and identified STING and VISTA as potential targets. Lastly, we uncovered remarkable variability in VEGFA expression and discovered unanticipated associations between VEGFA, endothelial cell markers, hypoxia, and the expression of immunoregulatory genes, indicative of regionally distinct immunosuppressive microdomains. This work provides an early demonstration of the ability of an integrated panel-based spatial biology approach to characterize and quantify the intrinsic molecular heterogeneity of the glioblastoma microenvironment.",36788070,PMC9937641,10.1016/j.modpat.2022.100034,5,Modern pathology : an official journal of the United States and Canadian Academy,8806605,8.209,0.8675976395606995,0.5217391304347826,0.6086956521739131,0.7466455402581589
