PMID,Title,DOI,Abstract,PMCID,Journal_title,Journal_id
34103512,"MOGONET integrates multi-omics data using graph convolutional networks allowing 
       patient classification and biomarker identification.",10.1038/s41467-021-23774-w,"To fully utilize the advances in omics technologies and achieve a more 
       comprehensive understanding of human diseases, novel computational methods are 
       required for integrative analysis of multiple types of omics data. Here, we 
       present a novel multi-omics integrative method named Multi-Omics Graph 
       cOnvolutional NETworks (MOGONET) for biomedical classification. MOGONET jointly 
       explores omics-specific learning and cross-omics correlation learning for 
       effective multi-omics data classification. We demonstrate that MOGONET 
       outperforms other state-of-the-art supervised multi-omics integrative analysis 
       approaches from different biomedical classification applications using mRNA 
       expression data, DNA methylation data, and microRNA expression data. Furthermore, 
       MOGONET can identify important biomarkers from different omics data types related 
       to the investigated biomedical problems.",PMC8187432,Nature communications,101528555
38729996,Graph machine learning for integrated multi-omics analysis.,10.1038/s41416-024-02706-7,"Multi-omics experiments at bulk or single-cell resolution facilitate the 
       discovery of hypothesis-generating biomarkers for predicting response to therapy, 
       as well as aid in uncovering mechanistic insights into cellular and 
       microenvironmental processes. Many methods for data integration have been 
       developed for the identification of key elements that explain or predict disease 
       risk or other biological outcomes. The heterogeneous graph representation of 
       multi-omics data provides an advantage for discerning patterns suitable for 
       predictive/exploratory analysis, thus permitting the modeling of complex 
       relationships. Graph-based approaches-including graph neural networks-potentially 
       offer a reliable methodological toolset that can provide a tangible alternative 
       to scientists and clinicians that seek ideas and implementation strategies in the 
       integrated analysis of their omics sets for biomedical research. Graph-based 
       workflows continue to push the limits of the technological envelope, and this 
       perspective provides a focused literature review of research articles in which 
       graph machine learning is utilized for integrated multi-omics data analyses, with 
       several examples that demonstrate the effectiveness of graph-based approaches.",,British journal of cancer,370635
38698395,"Exploring machine learning strategies for predicting cardiovascular disease risk 
       factors from multi-omic data.",10.1186/s12911-024-02521-3,"BACKGROUND: Machine learning (ML) classifiers are increasingly used for 
       predicting cardiovascular disease (CVD) and related risk factors using omics 
       data, although these outcomes often exhibit categorical nature and class 
       imbalances. However, little is known about which ML classifier, omics data, or 
       upstream dimension reduction strategy has the strongest influence on prediction 
       quality in such settings. Our study aimed to illustrate and compare different 
       machine learning strategies to predict CVD risk factors under different 
       scenarios. METHODS: We compared the use of six ML classifiers in predicting CVD 
       risk factors using blood-derived metabolomics, epigenetics and transcriptomics 
       data. Upstream omic dimension reduction was performed using either unsupervised 
       or semi-supervised autoencoders, whose downstream ML classifier performance we 
       compared. CVD risk factors included systolic and diastolic blood pressure 
       measurements and ultrasound-based biomarkers of left ventricular diastolic 
       dysfunction (LVDD; E/e' ratio, E/A ratio, LAVI) collected from 1,249 Finnish 
       participants, of which 80% were used for model fitting. We predicted individuals 
       with low, high or average levels of CVD risk factors, the latter class being the 
       most common. We constructed multi-omic predictions using a meta-learner that 
       weighted single-omic predictions. Model performance comparisons were based on the 
       F1 score. Finally, we investigated whether learned omic representations from 
       pre-trained semi-supervised autoencoders could improve outcome prediction in an 
       external cohort using transfer learning. RESULTS: Depending on the ML classifier 
       or omic used, the quality of single-omic predictions varied. Multi-omics 
       predictions outperformed single-omics predictions in most cases, particularly in 
       the prediction of individuals with high or low CVD risk factor levels. 
       Semi-supervised autoencoders improved downstream predictions compared to the use 
       of unsupervised autoencoders. In addition, median gains in Area Under the Curve 
       by transfer learning compared to modelling from scratch ranged from 0.09 to 0.14 
       and 0.07 to 0.11 units for transcriptomic and metabolomic data, respectively. 
       CONCLUSIONS: By illustrating the use of different machine learning strategies in 
       different scenarios, our study provides a platform for researchers to evaluate 
       how the choice of omics, ML classifiers, and dimension reduction can influence 
       the quality of CVD risk factor predictions.",PMC11064347,BMC medical informatics and decision making,101088682
38678587,"DeepKEGG: a multi-omics data integration framework with biological insights for 
       cancer recurrence prediction and biomarker discovery.",10.1093/bib/bbae185,"Deep learning-based multi-omics data integration methods have the capability to 
       reveal the mechanisms of cancer development, discover cancer biomarkers and 
       identify pathogenic targets. However, current methods ignore the potential 
       correlations between samples in integrating multi-omics data. In addition, 
       providing accurate biological explanations still poses significant challenges due 
       to the complexity of deep learning models. Therefore, there is an urgent need for 
       a deep learning-based multi-omics integration method to explore the potential 
       correlations between samples and provide model interpretability. Herein, we 
       propose a novel interpretable multi-omics data integration method (DeepKEGG) for 
       cancer recurrence prediction and biomarker discovery. In DeepKEGG, a biological 
       hierarchical module is designed for local connections of neuron nodes and model 
       interpretability based on the biological relationship between genes/miRNAs and 
       pathways. In addition, a pathway self-attention module is constructed to explore 
       the correlation between different samples and generate the potential pathway 
       feature representation for enhancing the prediction performance of the model. 
       Lastly, an attribution-based feature importance calculation method is utilized to 
       discover biomarkers related to cancer recurrence and provide a biological 
       interpretation of the model. Experimental results demonstrate that DeepKEGG 
       outperforms other state-of-the-art methods in 5-fold cross validation. 
       Furthermore, case studies also indicate that DeepKEGG serves as an effective tool 
       for biomarker discovery. The code is available at 
       https://github.com/lanbiolab/DeepKEGG.",PMC11056029,Briefings in bioinformatics,100912837
38666952,Multi-Omics Integration for Liver Cancer Using Regression Analysis.,10.3390/cimb46040222,"Genetic biomarkers have played a pivotal role in the classification, 
       prognostication, and guidance of clinical cancer therapies. Large-scale and 
       multi-dimensional analyses of entire cancer genomes, as exemplified by projects 
       like The Cancer Genome Atlas (TCGA), have yielded an extensive repository of data 
       that holds the potential to unveil the underlying biology of these malignancies. 
       Mutations stand out as the principal catalysts of cellular transformation. 
       Nonetheless, other global genomic processes, such as alterations in gene 
       expression and chromosomal re-arrangements, also play crucial roles in conferring 
       cellular immortality. The incorporation of multi-omics data specific to cancer 
       has demonstrated the capacity to enhance our comprehension of the molecular 
       mechanisms underpinning carcinogenesis. This report elucidates how the 
       integration of comprehensive data on methylation, gene expression, and copy 
       number variations can effectively facilitate the unsupervised clustering of 
       cancer samples. We have identified regressors that can effectively classify tumor 
       and normal samples with an optimal integration of RNA sequencing, DNA 
       methylation, and copy number variation while also achieving significant p-values. 
       Further, these regressors were trained using linear and logistic regression with 
       k-means clustering. For comparison, we employed autoencoder- and stacking-based 
       omics integration and computed silhouette scores to evaluate the clusters. The 
       proof of concept is illustrated using liver cancer data. Our analysis serves to 
       underscore the feasibility of unsupervised cancer classification by considering 
       genetic markers beyond mutations, thereby emphasizing the clinical relevance of 
       additional global cellular parameters that contribute to the transformative 
       process in cells. This work is clinically relevant because changes in gene 
       expression and genomic re-arrangements have been shown to be signatures of 
       cellular transformation across cancers, as well as in liver cancers.",PMC11049490,Current issues in molecular biology,100931761
38666214,CWGCNA: an R package to perform causal inference from the WGCNA framework.,10.1093/nargab/lqae042,"WGCNA (weighted gene co-expression network analysis) is a very useful tool for 
       identifying co-expressed gene modules and detecting their correlations to 
       phenotypic traits. Here, we explored more possibilities about it and developed 
       the R package CWGCNA (causal WGCNA), which works from the traditional WGCNA 
       pipeline but mines more information. It couples a mediation model with WGCNA, so 
       the causal relationships among WGCNA modules, module features, and phenotypes can 
       be found, demonstrating whether the module change causes the phenotype change or 
       vice versa. After that, when annotating the module gene set functions, it uses a 
       novel network-based method, considering the modules' topological structures and 
       capturing their influence on the gene set functions. In addition to conducting 
       these biological explorations, CWGCNA also contains a machine learning section to 
       perform clustering and classification on multi-omics data, given the increasing 
       popularity of this data type. Some basic functions, such as differential feature 
       identification, are also available in our package. Its effectiveness is proved by 
       the performance on three single or multi-omics datasets, showing better 
       performance than existing methods. CWGCNA is available at: 
       https://github.com/yuabrahamliu/CWGCNA.",PMC11044439,NAR genomics and bioinformatics,101756213
38527092,"PathIntegrate: Multivariate modelling approaches for pathway-based multi-omics 
       data integration.",10.1371/journal.pcbi.1011814,"As terabytes of multi-omics data are being generated, there is an ever-increasing 
       need for methods facilitating the integration and interpretation of such data. 
       Current multi-omics integration methods typically output lists, clusters, or 
       subnetworks of molecules related to an outcome. Even with expert domain 
       knowledge, discerning the biological processes involved is a time-consuming 
       activity. Here we propose PathIntegrate, a method for integrating multi-omics 
       datasets based on pathways, designed to exploit knowledge of biological systems 
       and thus provide interpretable models for such studies. PathIntegrate employs 
       single-sample pathway analysis to transform multi-omics datasets from the 
       molecular to the pathway-level, and applies a predictive single-view or 
       multi-view model to integrate the data. Model outputs include multi-omics 
       pathways ranked by their contribution to the outcome prediction, the contribution 
       of each omics layer, and the importance of each molecule in a pathway. Using 
       semi-synthetic data we demonstrate the benefit of grouping molecules into 
       pathways to detect signals in low signal-to-noise scenarios, as well as the 
       ability of PathIntegrate to precisely identify important pathways at low effect 
       sizes. Finally, using COPD and COVID-19 data we showcase how PathIntegrate 
       enables convenient integration and interpretation of complex high-dimensional 
       multi-omics datasets. PathIntegrate is available as an open-source Python 
       package.",PMC10994553,PLoS computational biology,101238922
38474033,"MOGAT: A Multi-Omics Integration Framework Using Graph Attention Networks for 
       Cancer Subtype Prediction.",10.3390/ijms25052788,"Accurate cancer subtype prediction is crucial for personalized medicine. 
       Integrating multi-omics data represents a viable approach to comprehending the 
       intricate pathophysiology of complex diseases like cancer. Conventional machine 
       learning techniques are not ideal for analyzing the complex interrelationships 
       among different categories of omics data. Numerous models have been suggested 
       using graph-based learning to uncover veiled representations and network 
       formations unique to distinct types of omics data to heighten predictions 
       regarding cancers and characterize patients' profiles, amongst other applications 
       aimed at improving disease management in medical research. The existing 
       graph-based state-of-the-art multi-omics integration approaches for cancer 
       subtype prediction, MOGONET, and SUPREME, use a graph convolutional network 
       (GCN), which fails to consider the level of importance of neighboring nodes on a 
       particular node. To address this gap, we hypothesize that paying attention to 
       each neighbor or providing appropriate weights to neighbors based on their 
       importance might improve the cancer subtype prediction. The natural choice to 
       determine the importance of each neighbor of a node in a graph is to explore the 
       graph attention network (GAT). Here, we propose MOGAT, a novel multi-omics 
       integration approach, leveraging GAT models that incorporate graph-based learning 
       with an attention mechanism. MOGAT utilizes a multi-head attention mechanism to 
       extract appropriate information for a specific sample by assigning unique 
       attention coefficients to neighboring samples. Based on our knowledge, our group 
       is the first to explore GAT in multi-omics integration for cancer subtype 
       prediction. To evaluate the performance of MOGAT in predicting cancer subtypes, 
       we explored two sets of breast cancer data from TCGA and METABRIC. Our proposed 
       approach, MOGAT, outperforms MOGONET by 32% to 46% and SUPREME by 2% to 16% in 
       cancer subtype prediction in different scenarios, supporting our hypothesis. Our 
       results also showed that GAT embeddings provide a better prognosis in 
       differentiating the high-risk group from the low-risk group than raw features.",PMC10932030,International journal of molecular sciences,101092791
38450156,"Highly accurate diagnosis of pancreatic cancer by integrative modeling using gut 
       microbiome and exposome data.",10.1016/j.isci.2024.109294,"The noninvasive detection of pancreatic ductal adenocarcinoma (PDAC) remains an 
       immense challenge. In this study, we proposed a robust, accurate, and noninvasive 
       classifier, namely Multi-Omics Co-training Graph Convolutional Networks 
       (MOCO-GCN). It achieved high accuracy (0.9 ± 0.06), F1 score (0.9± 0.07), and 
       AUROC (0.89± 0.08), surpassing contemporary approaches. The performance of model 
       was validated on an external cohort of German PDAC patients. Additionally, we 
       discovered that the exposome may impact PDAC development through its complex 
       interplay with gut microbiome by mediation analysis. For example, Fusobacterium 
       hwasookii nucleatum, known for its ability to induce inflammatory responses, may 
       serve as a mediator for the impact of rheumatoid arthritis on PDAC. Overall, our 
       study sheds light on how exposome and microbiome in concert could contribute to 
       PDAC development, and enable PDAC diagnosis with high fidelity and 
       interpretability.",PMC10915599,iScience,101724038
38444760,"Classifying breast cancer using multi-view graph neural network based on 
       multi-omics data.",10.3389/fgene.2024.1363896,"Introduction: As the evaluation indices, cancer grading and subtyping have 
       diverse clinical, pathological, and molecular characteristics with prognostic and 
       therapeutic implications. Although researchers have begun to study cancer 
       differentiation and subtype prediction, most of relevant methods are based on 
       traditional machine learning and rely on single omics data. It is necessary to 
       explore a deep learning algorithm that integrates multi-omics data to achieve 
       classification prediction of cancer differentiation and subtypes. Methods: This 
       paper proposes a multi-omics data fusion algorithm based on a multi-view graph 
       neural network (MVGNN) for predicting cancer differentiation and subtype 
       classification. The model framework consists of a graph convolutional network 
       (GCN) module for learning features from different omics data and an attention 
       module for integrating multi-omics data. Three different types of omics data are 
       used. For each type of omics data, feature selection is performed using methods 
       such as the chi-square test and minimum redundancy maximum relevance (mRMR). 
       Weighted patient similarity networks are constructed based on the selected omics 
       features, and GCN is trained using omics features and corresponding similarity 
       networks. Finally, an attention module integrates different types of omics 
       features and performs the final cancer classification prediction. Results: To 
       validate the cancer classification predictive performance of the MVGNN model, we 
       conducted experimental comparisons with traditional machine learning models and 
       currently popular methods based on integrating multi-omics data using 5-fold 
       cross-validation. Additionally, we performed comparative experiments on cancer 
       differentiation and its subtypes based on single omics data, two omics data, and 
       three omics data. Discussion: This paper proposed the MVGNN model and it 
       performed well in cancer classification prediction based on multiple omics data.",PMC10912483,Frontiers in genetics,101560621
38444019,MOCAT: multi-omics integration with auxiliary classifiers enhanced autoencoder.,10.1186/s13040-024-00360-6,"BACKGROUND: Integrating multi-omics data is emerging as a critical approach in 
       enhancing our understanding of complex diseases. Innovative computational methods 
       capable of managing high-dimensional and heterogeneous datasets are required to 
       unlock the full potential of such rich and diverse data. METHODS: We propose a 
       Multi-Omics integration framework with auxiliary Classifiers-enhanced 
       AuToencoders (MOCAT) to utilize intra- and inter-omics information 
       comprehensively. Additionally, attention mechanisms with confidence learning are 
       incorporated for enhanced feature representation and trustworthy prediction. 
       RESULTS: Extensive experiments were conducted on four benchmark datasets to 
       evaluate the effectiveness of our proposed model, including BRCA, ROSMAP, LGG, 
       and KIPAN. Our model significantly improved most evaluation measurements and 
       consistently surpassed the state-of-the-art methods. Ablation studies showed that 
       the auxiliary classifiers significantly boosted classification accuracy in the 
       ROSMAP and LGG datasets. Moreover, the attention mechanisms and confidence 
       evaluation block contributed to improvements in the predictive accuracy and 
       generalizability of our model. CONCLUSIONS: The proposed framework exhibits 
       superior performance in disease classification and biomarker discovery, 
       establishing itself as a robust and versatile tool for analyzing multi-layer 
       biological data. This study highlights the significance of elaborated designed 
       deep learning methodologies in dissecting complex disease phenotypes and 
       improving the accuracy of disease predictions.",PMC10916109,BioData mining,101319161
38404715,"Supervised graph contrastive learning for cancer subtype identification through 
       multi-omics data integration.",10.1007/s13755-024-00274-x,"Cancer is one of the most deadly diseases in the world. Accurate cancer subtype 
       classification is critical for patient diagnosis, treatment, and prognosis. 
       Ever-increasing multi-omics data describes the characteristics of the patients 
       from different views and serves as complementary information to promote cancer 
       subtype identification. However, omics data generally have different 
       distributions and high dimensions. How to effectively integrate multiple omics 
       data to classify cancer subtypes accurately is a challenge for researchers. This 
       work proposes a method integrating multi-omics data based on supervised graph 
       contrast learning (MCRGCN) to classify cancer subtypes. The method considers the 
       unique feature distribution of each omics data and the interaction of different 
       omics data features to improve the accuracy of cancer subtype classification. To 
       achieve this, MCRGCN first constructs different sample networks based on the 
       multi-omics data of the samples. Then, it puts the omics data and adjacency 
       matrix of the sample into different residual graph convolution models to get 
       multi-omics features of the samples, which are trained with a supervised 
       comparison loss to maintain that the sample features of each omics should be as 
       consistent as possible. Finally, we input the sample features combining 
       multi-omics features into a classifier to obtain the cancer subtypes. We applied 
       MCRGCN to the invasive breast carcinoma (BRCA) and glioblastoma multiforme (GBM) 
       datasets, integrating gene expression, miRNA expression, and DNA methylation 
       data. The results demonstrate that our model is superior to other methods in 
       integrating multi-omics data. Moreover, the results of survival analysis 
       experiments demonstrate that the cancer subtypes identified by our model have 
       significant clinical features. Furthermore, our model can help to identify 
       potential biomarkers and pathways associated with cancer subtypes.",PMC10891026,Health information science and systems,101638060
38352790,"A machine learning and deep learning-based integrated multi-omics technique for 
       leukemia prediction.",10.1016/j.heliyon.2024.e25369,"In recent years, scientific data on cancer has expanded, providing potential for 
       a better understanding of malignancies and improved tailored care. Advances in 
       Artificial Intelligence (AI) processing power and algorithmic development 
       position Machine Learning (ML) and Deep Learning (DL) as crucial players in 
