DOI,Title,year,Abstract,Semantic Scholar ID,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id,relevance_score,similarity,Cited Number,impact_factor,cited_Normalized,impact_Normalized,final_score
10.1002/advs.202306630,AFM Imaging Reveals MicroRNA-132 to be a Positive Regulator of Synaptic        Functions.,2024.0,"The modification of synaptic and neural connections in adults, including the        formation and removal of synapses, depends on activity-dependent synaptic and        structural plasticity. MicroRNAs (miRNAs) play crucial roles in regulating these        changes by targeting specific genes and regulating their expression. The fact        that somatic and dendritic activity in neurons often occurs asynchronously        highlights the need for spatial and dynamic regulation of protein synthesis in        specific milieu and cellular loci. MicroRNAs, which can show distinct patterns of        enrichment, help to establish the localized distribution of plasticity-related        proteins. The recent study using atomic force microscopy (AFM)-based nanoscale        imaging reveals that the abundance of miRNA(miR)-134 is inversely correlated with        the functional activity of dendritic spine structures. However, the miRNAs that        are selectively upregulated in potentiated synapses, and which can thereby        support prospective changes in synaptic efficacy, remain largely unknown. Using        AFM force imaging, significant increases in miR-132 in the dendritic regions        abutting functionally-active spines is discovered. This study provides evidence        for miR-132 as a novel positive miRNA regulator residing in dendritic shafts, and        also suggests that activity-dependent miRNAs localized in distinct        sub-compartments of neurons play bi-directional roles in controlling synaptic        transmission and synaptic plasticity.",7cb22153e16bb0b24b651c1c61c9035881c79666,https://www.semanticscholar.org/paper/7cb22153e16bb0b24b651c1c61c9035881c79666,38493494,PMC11077659,,False,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",101664569,0.851706326007843,0.08,0,17.521,0.0,0.9850746268656716,0.43527309183220364
10.1038/s41467-020-14761-8,The conserved microRNA miR-34 regulates synaptogenesis via coordination of        distinct mechanisms in presynaptic and postsynaptic cells.,2020.0,"Micro(mi)RNA-based post-transcriptional regulatory mechanisms have been broadly        implicated in the assembly and modulation of synaptic connections required to        shape neural circuits, however, relatively few specific miRNAs have been        identified that control synapse formation. Using a conditional transgenic toolkit        for competitive inhibition of miRNA function in Drosophila, we performed an        unbiased screen for novel regulators of synapse morphogenesis at the larval        neuromuscular junction (NMJ). From a set of ten new validated regulators of NMJ        growth, we discovered that miR-34 mutants display synaptic phenotypes and cell        type-specific functions suggesting distinct downstream mechanisms in the        presynaptic and postsynaptic compartments. A search for conserved downstream        targets for miR-34 identified the junctional receptor CNTNAP4/Neurexin-IV        (Nrx-IV) and the membrane cytoskeletal effector Adducin/Hu-li tai shao (Hts) as        proteins whose synaptic expression is restricted by miR-34. Manipulation of        miR-34, Nrx-IV or Hts-M function in motor neurons or muscle supports a model        where presynaptic miR-34 inhibits Nrx-IV to influence active zone formation,        whereas, postsynaptic miR-34 inhibits Hts to regulate the initiation of bouton        formation from presynaptic terminals.",20267904ea61bf49045ed9a4eff426914dfe2482,https://www.semanticscholar.org/paper/20267904ea61bf49045ed9a4eff426914dfe2482,32107390,PMC7046720,,False,Nature communications,101528555,0.8469578623771667,0.06666666666666667,19,17.694,0.7611940298507462,1.0,0.5449331298574286
10.1007/s12031-021-01862-2,miR-128 as a Regulator of Synaptic Properties in 5xFAD Mice Hippocampal Neurons.,2021.0,"Alzheimer's disease (AD) is characterized by progressive synaptic dysfunction,        deterioration of neuronal transmission, and consequently neuronal death. Although        there is no treatment for AD, exposure to enriched environment (EE) in mice, as        well as physical and mental activity in human subjects have been shown to have a        protective effect by slowing the disease's progression and reducing AD-like        cognitive impairment. However, the molecular mechanism of this mitigating effect        is still not understood. One of the mechanisms that has recently been shown to be        involved in neuronal degeneration is microRNAs (miRNAs) regulation, which act as        a post-transcriptional regulators of gene expression. miR-128 has been shown to        be significantly altered in individuals with AD and in mice following exposure to        EE. Here, we focused on elucidating the possible role of miR-128 in AD pathology        and found that miR-128 regulates the expression of two proteins essential for        synaptic transmission, SNAP-25, and synaptotagmin1 (Syt1). Clinically relevant,        in 5xFAD mouse model for AD, this miRNA's expression was found as downregulated,        resembling the alteration found in the hippocampi of individuals with AD.        Interestingly, exposing WT mice to EE also resulted in downregulation of miR-128        expression levels, although EE and AD conditions demonstrate opposing effects on        neuronal functioning and synaptic plasticity. We also found that miR-128        expression downregulation in primary hippocampal cultures from 5xFAD mice results        in increased neuronal network activity and neuronal excitability. Altogether, our        findings place miR-128 as a synaptic player that may contribute to synaptic        functioning and plasticity through regulation of synaptic protein expression and        function.",f3105ae53a1d2053b397ed2ff0a6d5ef356c00bb,https://www.semanticscholar.org/paper/f3105ae53a1d2053b397ed2ff0a6d5ef356c00bb,34151409,,,False,Journal of molecular neuroscience : MN,9002991,0.8342719078063965,0.030927835051546393,7,2.866,0.3582089552238806,0.16417910447761194,0.3410109153177614
10.3389/fnins.2018.00707,MicroRNAs Engage in Complex Circuits Regulating Adult Neurogenesis.,2018.0,"The finding that the adult mammalian brain is still capable of producing neurons        has ignited a new field of research aiming to identify the molecular mechanisms        regulating adult neurogenesis. An improved understanding of these mechanisms        could lead to the development of novel approaches to delay cognitive decline and        facilitate neuroregeneration in the adult human brain. Accumulating evidence        suggest microRNAs (miRNAs), which represent a class of post-transcriptional gene        expression regulators, as crucial part of the gene regulatory networks governing        adult neurogenesis. This review attempts to illustrate how miRNAs modulate key        processes in the adult neurogenic niche by interacting with each other and with        transcriptional regulators. We discuss the function of miRNAs in adult        neurogenesis following the life-journey of an adult-born neuron from the adult        neural stem cell (NSCs) compartment to its final target site. We first survey how        miRNAs control the initial step of adult neurogenesis, that is the transition of        quiescent to activated proliferative adult NSCs, and then go on to discuss the        role of miRNAs to regulate neuronal differentiation, survival, and functional        integration of the newborn neurons. In this context, we highlight miRNAs that        converge on functionally related targets or act within cross talking gene        regulatory networks. The cooperative manner of miRNA action and the broad target        repertoire of each individual miRNA could make the miRNA system a promising tool        to gain control on adult NSCs in the context of therapeutic approaches.",244cd453637dbbe2f38ac27660b454d65e7a5fa7,https://www.semanticscholar.org/paper/244cd453637dbbe2f38ac27660b454d65e7a5fa7,30455620,PMC6230569,background,False,Frontiers in neuroscience,101478481,0.8219033479690552,0.04895104895104895,33,5.152,0.8955223880597015,0.31343283582089554,0.4474947075532257
10.3389/fnagi.2021.705989,Reduced Levels of miR-342-5p in Plasma Are Associated With Worse Cognitive        Evolution in Patients With Mild Alzheimer's Disease.,2021.0,"BACKGROUND: Progressive cognitive decline is the most relevant clinical symptom        of Alzheimer's disease (AD). However, the rate of cognitive decline is highly        variable between patients. Synaptic deficits are the neuropathological event most        correlated with cognitive impairment in AD. Considering the important role of        microRNAs (miRNAs) in regulating synaptic plasticity, our objective was to        identify the plasma miRNAs associated with the rate of cognitive decline in        patients with mild AD. METHODS: We analyzed 754 plasma miRNAs from 19 women        diagnosed with mild AD using TaqMan low-density array cards. The patients were        grouped based on the rate of decline in the MMSE score after 2 years [<4 points        (N = 11) and ≥4 points (N = 8)]. The differentially expressed miRNAs between the        two groups were validated in an independent cohort of men and women (N = 53) with        mild AD using RT-qPCR. RESULTS: In the discovery cohort, 17 miRNAs were        differentially expressed according to the fold change between patients with        faster declines in cognition and those with slower declines. miR-342-5p        demonstrated differential expression between the groups and a good correlation        with the rate of cognitive decline in the validation cohort (r = -0.28; p =        0.026). This miRNA had a lower expression level in patients who suffered from        more severe decline than in those who were cognitively more stable after 2 years        (p = 0.049). CONCLUSION: Lower levels of miR-342-5p in plasma were associated        with faster cognitive decline in patients with mild AD after 2 years of        follow-up.",08c85394e42c9fce651b11f3c450d36791922c65,https://www.semanticscholar.org/paper/08c85394e42c9fce651b11f3c450d36791922c65,34497505,PMC8421031,background,False,Frontiers in aging neuroscience,101525824,0.801159143447876,0.0,13,5.702,0.582089552238806,0.40298507462686567,0.3881089370642135
10.15252/embj.201797943,NMDAR-dependent Argonaute 2 phosphorylation regulates miRNA activity and        dendritic spine plasticity.,2018.0,"MicroRNAs (miRNAs) repress translation of target mRNAs by associating with        Argonaute (Ago) proteins to form the RNA-induced silencing complex (RISC),        underpinning a powerful mechanism for fine-tuning protein expression. Specific        miRNAs are required for NMDA receptor (NMDAR)-dependent synaptic plasticity by        modulating the translation of proteins involved in dendritic spine morphogenesis        or synaptic transmission. However, it is unknown how NMDAR stimulation stimulates        RISC activity to rapidly repress translation of synaptic proteins. We show that        NMDAR stimulation transiently increases Akt-dependent phosphorylation of Ago2 at        S387, which causes an increase in binding to GW182 and a rapid increase in        translational repression of LIMK1 via miR-134. Furthermore, NMDAR-dependent        down-regulation of endogenous LIMK1 translation in dendrites and dendritic spine        shrinkage requires phospho-regulation of Ago2 at S387. AMPAR trafficking and        hippocampal LTD do not involve S387 phosphorylation, defining this mechanism as a        specific pathway for structural plasticity. This work defines a novel mechanism        for the rapid transduction of NMDAR stimulation into miRNA-mediated translational        repression to control dendritic spine morphology.",31d7e7fa179e6156ed4794c2646f5e53afa827f7,https://www.semanticscholar.org/paper/31d7e7fa179e6156ed4794c2646f5e53afa827f7,29712715,PMC5983126,background,False,The EMBO journal,8208664,0.7345005869865417,0.13114754098360656,36,14.012,0.9253731343283582,0.9701492537313433,0.5571375506983604
10.1007/s12035-019-01816-1,MicroRNA-34a Acutely Regulates Synaptic Efficacy in the Adult Dentate Gyrus In        Vivo.,2019.0,"Activity-dependent synaptic plasticity involves rapid regulation of neuronal        protein synthesis on a time-scale of minutes. miRNA function in synaptic        plasticity and memory formation has been elucidated by stable experimental        manipulation of miRNA expression and activity using transgenic approaches and        viral vectors. However, the impact of rapid miRNA modulation on synaptic efficacy        is unknown. Here, we examined the effect of acute (12 min), intrahippocampal        infusion of a miR-34a antagonist (antimiR) on medial perforant path-evoked        synaptic transmission in the dentate gyrus of adult anesthetised rats.        AntimiR-34a infusion acutely depressed medial perforant path-evoked field        excitatory post-synaptic potentials (fEPSPs). The fEPSP decrease was detected        within 9 min of infusion, lasted for hours, and was associated with knockdown of        antimiR-34a levels. AntimiR-34a-induced synaptic depression was        sequence-specific; no changes were elicited by infusion of scrambled or mismatch        control. The rapid modulation suggests that a target, or set of targets, is        regulated by miR-34a. Western blot analysis of dentate gyrus lysates revealed        enhanced expression of Arc, a known miR-34a target, and four novel predicted        targets (Ctip2, PKI-1α, TCF4 and Ube2g1). Remarkably, antimiR-34a had no effect        when infused during the maintenance phase of long-term potentiation. We conclude        that miR-34a regulates basal synaptic efficacy in the adult dentate gyrus in        vivo. To our knowledge, these in vivo findings are the first to demonstrate acute        (< 9 min) regulation of synaptic efficacy in the adult brain by a miRNA.",6eebba8d0ab45108ecbdfd5fd6ab77e5099b3f20,https://www.semanticscholar.org/paper/6eebba8d0ab45108ecbdfd5fd6ab77e5099b3f20,31754996,,,False,Molecular neurobiology,8900963,0.7300974726676941,0.056338028169014086,10,5.682,0.47761194029850745,0.373134328358209,0.3691763933664213
10.3390/ijms21144977,Modulation of MicroRNAs as a Potential Molecular Mechanism Involved in the        Beneficial Actions of Physical Exercise in Alzheimer Disease.,2020.0,"Alzheimer disease (AD) is one of the most common neurodegenerative diseases,        affecting middle-aged and elderly individuals worldwide. AD pathophysiology        involves the accumulation of beta-amyloid plaques and neurofibrillary tangles in        the brain, along with chronic neuroinflammation and neurodegeneration. Physical        exercise (PE) is a beneficial non-pharmacological strategy and has been described        as an ally to combat cognitive decline in individuals with AD. However, the        molecular mechanisms that govern the beneficial adaptations induced by PE in AD        are not fully elucidated. MicroRNAs are small non-coding RNAs involved in the        post-transcriptional regulation of gene expression, inhibiting or degrading their        target mRNAs. MicroRNAs are involved in physiological processes that govern        normal brain function and deregulated microRNA profiles are associated with the        development and progression of AD. It is also known that PE changes microRNA        expression profile in the circulation and in target tissues and organs. Thus,        this review aimed to identify the role of deregulated microRNAs in the        pathophysiology of AD and explore the possible role of the modulation of        microRNAs as a molecular mechanism involved in the beneficial actions of PE in        AD.",f5ca5edd8e159250d8b76e740b051e8369be1c93,https://www.semanticscholar.org/paper/f5ca5edd8e159250d8b76e740b051e8369be1c93,32674523,PMC7403962,background,False,International journal of molecular sciences,101092791,0.7289412617683411,0.007792207792207792,34,6.208,0.9104477611940298,0.5223880597014925,0.4367246347817138
10.1016/j.neubiorev.2023.105040,An insight into the sprawling microverse of microRNAs in depression        pathophysiology and treatment response.,2023.0,"Stress-related neuropathologies are pivotal in developing major depressive        disorder (MDD) and are often governed by gene-regulatory changes. Being a        stress-responsive gene-regulatory factor, microRNAs (miRNAs) have tremendous        biomolecular potential to define an altered gene-regulatory landscape in the MDD        brain. MiRNAs' regulatory roles in the MDD brain are closely aligned with changes        in plasticity, neurogenesis, and stress-axis functions. MiRNAs act at the        epigenetic interface between stress-induced environmental stimuli and cellular        pathologies by triggering large-scale gene expression changes in a highly        coordinated fashion. The parallel changes in peripheral circulation may provide        an excellent opportunity for miRNA to devise more effective treatment strategies        and help explore their potential as biomarkers in treatment response. This review        discusses the role of miRNAs as epigenetic modifiers in the etiopathogenesis of        MDD. Concurrently, key research is highlighted to show the progress in using        miRNAs as predictive biomarkers for treatment response.",b1c4103fad55d055120d4d0df058c106f18c3dfa,https://www.semanticscholar.org/paper/b1c4103fad55d055120d4d0df058c106f18c3dfa,36639069,PMC9974865,background,False,Neuroscience and biobehavioral reviews,7806090,0.6974028944969177,0.09090909090909091,4,9.052,0.23880597014925373,0.835820895522388,0.4067785345634579
10.3389/fncel.2019.00536,miRNA-Dependent Control of Homeostatic Plasticity in Neurons.,2019.0,"Homeostatic plasticity is a form of plasticity in which neurons compensate for        changes in neuronal activity through the control of key physiological parameters        such as the number and the strength of their synaptic inputs and intrinsic        excitability. Recent studies revealed that miRNAs, which are small non-coding        RNAs repressing mRNA translation, participate in this process by controlling the        translation of multiple effectors such as glutamate transporters, receptors,        signaling molecules and voltage-gated ion channels. In this review, we present        and discuss the role of miRNAs in both cell-wide and compartmentalized forms of        homeostatic plasticity as well as their implication in pathological processes        associated with homeostatic failure.",e0918734ef62b438fff17c2b04246756d6fb8db1,https://www.semanticscholar.org/paper/e0918734ef62b438fff17c2b04246756d6fb8db1,31866828,PMC6906196,,False,Frontiers in cellular neuroscience,101477935,0.6856338381767273,0.12101910828025478,18,6.147,0.7313432835820896,0.4925373134328358,0.43767988431735894
