arxivId,Title,Year,Semantic Scholar ID,URL
,The Central Nervous System,2020,2319b0a399055b7eda1a7622c2d5ceb697285c47,https://www.semanticscholar.org/paper/2319b0a399055b7eda1a7622c2d5ceb697285c47
,RNA Biology in Retinal Development and Disease.,2018,a92a8502f41ab404c0d162a1092bede64a760f71,https://www.semanticscholar.org/paper/a92a8502f41ab404c0d162a1092bede64a760f71
,Epigenetic control of early neurodegenerative events in diabetic retinopathy by the histone deacetylase SIRT6,2018,6f9b9a4179f039761f7933836c23e53ce25c7750,https://www.semanticscholar.org/paper/6f9b9a4179f039761f7933836c23e53ce25c7750
,Molecular Anatomy of the Developing Human Retina.,2017,629b4e1f74c5ec1583a3517850f6cde4add4f40b,https://www.semanticscholar.org/paper/629b4e1f74c5ec1583a3517850f6cde4add4f40b
,DNA Bisulfite Sequencing for Single-Nucleotide-Resolution DNA Methylation Detection.,2017,cbb14c4c3ca7d23e8df7490e21e285e10feb0df1,https://www.semanticscholar.org/paper/cbb14c4c3ca7d23e8df7490e21e285e10feb0df1
,The Transcription Factor Prdm16 Marks a Single Retinal Ganglion Cell Subtype in the Mouse Retina,2017,34c0fe75d8e9ce1c511fcf84e2b371b1c0181773,https://www.semanticscholar.org/paper/34c0fe75d8e9ce1c511fcf84e2b371b1c0181773
,"Diabetic retinopathy, metabolic memory and epigenetic modifications",2017,4e87d98c875ff3063af1db25fb3ab571ad98588b,https://www.semanticscholar.org/paper/4e87d98c875ff3063af1db25fb3ab571ad98588b
,Caloric restriction delays age-related methylation drift,2017,3aba4fbcf4e94413bb774d9d54b62107d9c855f9,https://www.semanticscholar.org/paper/3aba4fbcf4e94413bb774d9d54b62107d9c855f9
,Samd7 is a cell type-specific PRC1 component essential for establishing retinal rod photoreceptor identity,2017,542175d968ea70fe48fbb9f1ee6364960fb62337,https://www.semanticscholar.org/paper/542175d968ea70fe48fbb9f1ee6364960fb62337
,Establishment of human retinal mitoscriptome gene expression signature for diabetic retinopathy using cadaver eyes.,2017,3f59f0bfed06435e941a3939dc73991e827a1e4d,https://www.semanticscholar.org/paper/3f59f0bfed06435e941a3939dc73991e827a1e4d
,Stimulation of functional neuronal regeneration from Müller glia in adult mice,2017,7d542a766887efbf0dc1764098222f07a068195c,https://www.semanticscholar.org/paper/7d542a766887efbf0dc1764098222f07a068195c
,Analysis of Müller glia specific genes and their histone modification using Hes1-promoter driven EGFP expressing mouse,2017,796adcd6f4c648ea77785c6ee59763a28e7c8f24,https://www.semanticscholar.org/paper/796adcd6f4c648ea77785c6ee59763a28e7c8f24
,"Dnmt1, Dnmt3a and Dnmt3b cooperate in photoreceptor and outer plexiform layer development in the mammalian retina",2017,c8b9df8d69771c16a92272e5fb35a5fb81f6d00c,https://www.semanticscholar.org/paper/c8b9df8d69771c16a92272e5fb35a5fb81f6d00c
,Genetic architecture of epigenetic and neuronal ageing rates in human brain regions,2017,4bc027e6fab4651e23af5f4177645376b264c24a,https://www.semanticscholar.org/paper/4bc027e6fab4651e23af5f4177645376b264c24a
,"The Dynamic Epigenetic Landscape of the Retina During Development, Reprogramming, and Tumorigenesis",2017,dccd46f9529baece23eb2658d2cebc3a9c3ae4a0,https://www.semanticscholar.org/paper/dccd46f9529baece23eb2658d2cebc3a9c3ae4a0
,Molecular codes for cell type specification in Brn3 retinal ganglion cells,2017,b9d528016b8b7b36380012321fddc91897532c86,https://www.semanticscholar.org/paper/b9d528016b8b7b36380012321fddc91897532c86
,"Writing, erasing and reading histone lysine methylations",2017,06a56e8a22cee4e9daace27a8f37937210842db4,https://www.semanticscholar.org/paper/06a56e8a22cee4e9daace27a8f37937210842db4
,Dietary restriction protects from age-associated DNA methylation and induces epigenetic reprogramming of lipid metabolism,2017,6e6de0b8cf540858941cf75c9792a687eb09cecb,https://www.semanticscholar.org/paper/6e6de0b8cf540858941cf75c9792a687eb09cecb
,Abnormal levels of histone methylation in the retinas of diabetic rats are reversed by minocycline treatment,2017,560cf2c2dbf15abe57c4642e970e5804f73e5b48,https://www.semanticscholar.org/paper/560cf2c2dbf15abe57c4642e970e5804f73e5b48
,Multi-tissue DNA methylation age predictor in mouse,2017,91aad3a56e1b5fb5b641b31e7e801948d5b267af,https://www.semanticscholar.org/paper/91aad3a56e1b5fb5b641b31e7e801948d5b267af
,Cell Type-Specific Epigenomic Analysis Reveals a Uniquely Closed Chromatin Architecture in Mouse Rod Photoreceptors,2017,c83648a7582283c74b9bbdbae40c9544a911cc2a,https://www.semanticscholar.org/paper/c83648a7582283c74b9bbdbae40c9544a911cc2a
,Histone deacetylase 1 (HDAC1) regulates retinal development through a PAX6-dependent pathway.,2017,bb07eb599ba4f9b8e62072b3372f73c669a9d439,https://www.semanticscholar.org/paper/bb07eb599ba4f9b8e62072b3372f73c669a9d439
,Glycolytic reliance promotes anabolism in photoreceptors,2017,6c416f3cd46215cdd12a35bc8443fbdac907fccc,https://www.semanticscholar.org/paper/6c416f3cd46215cdd12a35bc8443fbdac907fccc
,Histone Deacetylase 1 Is Essential for Rod Photoreceptor Differentiation by Regulating Acetylation at Histone H3 Lysine 9 and Histone H4 Lysine 12 in the Mouse Retina*,2016,6abf3dce67217c0db8b2ecdf912d39bcdffbae08,https://www.semanticscholar.org/paper/6abf3dce67217c0db8b2ecdf912d39bcdffbae08
,Umap and Bismap: quantifying genome and methylome mappability,2016,cfc54fa45ede3ee17970899952ed3b5f26efe983,https://www.semanticscholar.org/paper/cfc54fa45ede3ee17970899952ed3b5f26efe983
,Repressed SIRT1/PGC-1α pathway and mitochondrial disintegration in iPSC-derived RPE disease model of age-related macular degeneration,2016,50b7df72d652c6df6a4bbc112089c6816bfd17e0,https://www.semanticscholar.org/paper/50b7df72d652c6df6a4bbc112089c6816bfd17e0
,An efficient targeted nuclease strategy for high-resolution mapping of DNA binding sites,2016,602e8c1eec64c315b5302e67c7b31c8ec57f4c21,https://www.semanticscholar.org/paper/602e8c1eec64c315b5302e67c7b31c8ec57f4c21
,NRL-Regulated Transcriptome Dynamics of Developing Rod Photoreceptors.,2016,f1d78ca715ebd543a402efabda0b250da79a88b0,https://www.semanticscholar.org/paper/f1d78ca715ebd543a402efabda0b250da79a88b0
,Genomic control of neuronal demographics in the retina,2016,9c4a4fd7a792f4480e94c1da69dd2be726ebe815,https://www.semanticscholar.org/paper/9c4a4fd7a792f4480e94c1da69dd2be726ebe815
,Next generation sequencing technology and genomewide data analysis: Perspectives for retinal research,2016,2387ef5525cb99268c617e6904ec4d1d78d8a00c,https://www.semanticscholar.org/paper/2387ef5525cb99268c617e6904ec4d1d78d8a00c
,Metabolic Signaling to Chromatin.,2016,186c9053b22f77f8086a4475e4c71dbbba07f9aa,https://www.semanticscholar.org/paper/186c9053b22f77f8086a4475e4c71dbbba07f9aa
,Vision and Aging.,2016,52d74d9073963ee590911c715dbf89efe2673379,https://www.semanticscholar.org/paper/52d74d9073963ee590911c715dbf89efe2673379
,Transient ectopic expression of the histone demethylase JMJD3 accelerates the differentiation of human pluripotent stem cells,2016,7a207388b6efeba065957e4ece03972128234808,https://www.semanticscholar.org/paper/7a207388b6efeba065957e4ece03972128234808
,"The glucagon like peptide 1 analogue, exendin-4, attenuates oxidative stress-induced retinal cell death in early diabetic rats through promoting Sirt1 and Sirt3 expression.",2016,046f5a5d566e19f81443a748a3cd8b55134cc7ab,https://www.semanticscholar.org/paper/046f5a5d566e19f81443a748a3cd8b55134cc7ab
,"Rapid, Dynamic Activation of Müller Glial Stem Cell Responses in Zebrafish",2016,8c2508c8db9060d502499877622ec34bcd1ac2c0,https://www.semanticscholar.org/paper/8c2508c8db9060d502499877622ec34bcd1ac2c0
,Postnatal onset of retinal degeneration by loss of embryonic Ezh2 repression of Six1,2016,c0e5c4dec2b3736d6df0f2d9331e9eddaf11b5f8,https://www.semanticscholar.org/paper/c0e5c4dec2b3736d6df0f2d9331e9eddaf11b5f8
,Reversible Regulation of Promoter and Enhancer Histone Landscape by DNA Methylation in Mouse Embryonic Stem Cells.,2016,a08b8e58d42406dd6c55360efc2854ad3b2b4a81,https://www.semanticscholar.org/paper/a08b8e58d42406dd6c55360efc2854ad3b2b4a81
,Three-dimensional retinal organoids from mouse pluripotent stem cells mimic in vivo development with enhanced stratification and rod photoreceptor differentiation,2016,8d4418513fd643b0689b2d86480bd994766dc6b4,https://www.semanticscholar.org/paper/8d4418513fd643b0689b2d86480bd994766dc6b4
,Exendin-4 induces extracellular-superoxide dismutase through histone H3 acetylation in human retinal endothelial cells,2016,8b0041d9af9cb6c8ea21b0345f2e08e53db8dc39,https://www.semanticscholar.org/paper/8b0041d9af9cb6c8ea21b0345f2e08e53db8dc39
,Editing DNA Methylation in the Mammalian Genome,2016,c090112436a11c732da18be7f1c640acc266a6c6,https://www.semanticscholar.org/paper/c090112436a11c732da18be7f1c640acc266a6c6
,Transcription factors as readers and effectors of DNA methylation,2016,6dee1bc645a95ab7b9afe8a303d0b916cc74f4b3,https://www.semanticscholar.org/paper/6dee1bc645a95ab7b9afe8a303d0b916cc74f4b3
,Transition of differential histone H3 methylation in photoreceptors and other retinal cells during retinal differentiation,2016,7400917192092051d78e95a7522cbcc0491d866b,https://www.semanticscholar.org/paper/7400917192092051d78e95a7522cbcc0491d866b
,Epigenetics and aging,2016,1b63a01c955b02c29e3f6d973954bc73a9d17d1b,https://www.semanticscholar.org/paper/1b63a01c955b02c29e3f6d973954bc73a9d17d1b
,Huntington's disease accelerates epigenetic aging of human brain and disrupts DNA methylation levels,2016,df69ebebe72e98d735da2ec49e5740ab766d21ec,https://www.semanticscholar.org/paper/df69ebebe72e98d735da2ec49e5740ab766d21ec
,"Modifiers and Readers of DNA Modifications and Their Impact on Genome Structure, Expression, and Stability in Disease",2016,876b6be7d2d9fc65dfef9c94579766d8d2086308,https://www.semanticscholar.org/paper/876b6be7d2d9fc65dfef9c94579766d8d2086308
,Recruitment of Rod Photoreceptors from Short-Wavelength-Sensitive Cones during the Evolution of Nocturnal Vision in Mammals.,2016,18c270053700ca389f35eeb8510b73b880104080,https://www.semanticscholar.org/paper/18c270053700ca389f35eeb8510b73b880104080
,Modeling Development and Disease with Organoids,2016,00d843dacfea994752fa67f1754c0ca20927374e,https://www.semanticscholar.org/paper/00d843dacfea994752fa67f1754c0ca20927374e
,Greater Than the Sum of Parts: Complexity of the Dynamic Epigenome.,2016,87c1b89bfca63b22b212927e86bac768ca60b8b0,https://www.semanticscholar.org/paper/87c1b89bfca63b22b212927e86bac768ca60b8b0
,Mechanism and biological role of Dnmt2 in Nucleic Acid Methylation,2016,4031b4bff198e7a7528d72798149a69feeca552a,https://www.semanticscholar.org/paper/4031b4bff198e7a7528d72798149a69feeca552a
,New Insights into the Regulation of Heterochromatin.,2016,7fa81b7ca05e9579d0ccdea6cbd0d67cb6cf30ba,https://www.semanticscholar.org/paper/7fa81b7ca05e9579d0ccdea6cbd0d67cb6cf30ba
,Loss of Bmi1 causes anomalies in retinal development and degeneration of cone photoreceptors,2016,0884a7ced273cf33bbab6d2b3321245e19c4b5b7,https://www.semanticscholar.org/paper/0884a7ced273cf33bbab6d2b3321245e19c4b5b7
