Title,Abstract,PMID,PMCID,DOI,Cited Number
Stress relief: emerging methods to mitigate dissociation-induced artefacts,"The rapid progress of single-cell RNA-sequencing (scRNA-seq) at large scales has led to what seemed impossible until recently: the generation of comprehensive transcriptional maps of nearly all cells in multicellular tissues. We pinpoint three key elements as being critical to the production of these maps: scalability, spatial information, and accuracy of the transcriptome of the individual cells. Here, we discuss the ramifications of traditional cell-isolation protocols when capturing the transcriptional signature of cells as they exist in their native tissue context, the methods that have been developed to avoid these distortions, and the biological processes that have unraveled on account of these upgraded methodological approaches.",34074577,,10.1016/j.tcb.2021.05.004,14
Transcriptional profiling of microglia; current state of the art and future perspectives,"Microglia are the tissue macrophages of the central nervous system (CNS) and the first to respond to CNS dysfunction and disease. Gene expression profiling of microglia during development, under homeostatic conditions, and in the diseased CNS provided insight in microglia functions and changes thereof. Single-cell sequencing studies further contributed to our understanding of microglia heterogeneity in relation to age, sex, and CNS disease. Recently, single nucleus gene expression profiling was performed on (frozen) CNS tissue. Transcriptomic profiling of CNS tissues by (single) nucleus RNA-sequencing has the advantage that it can be applied to archived and well-stratified frozen specimens. Here, we give an overview of the significant advances recently made in microglia transcriptional profiling. In addition, we present matched cellular and nuclear microglia RNA-seq datasets we generated from mouse and human CNS tissue to compare cellular versus nuclear transcriptomes from fresh and frozen samples. We demonstrate that microglia can be similarly profiled with cell and nucleus profiling, and importantly also with nuclei isolated from frozen tissue. Nuclear microglia transcriptomes are a reliable proxy for cellular transcriptomes. Importantly, lipopolysaccharide-induced changes in gene expression were conserved in the nuclear transcriptome. In addition, heterogeneity in microglia observed in fresh samples was similarly detected in frozen nuclei of the same donor. Together, these results show that microglia nuclear RNAs obtained from frozen CNS tissue are a reliable proxy for microglia gene expression and cellular heterogeneity and may prove an effective strategy to study of the role of microglia in neuropathology.",31846124,PMC7064956,10.1002/glia.23767,55
Advances in spatial transcriptomics and related data analysis strategies,"Spatial transcriptomics technologies developed in recent years can provide various information including tissue heterogeneity, which is fundamental in biological and medical research, and have been making significant breakthroughs. Single-cell RNA sequencing (scRNA-seq) cannot provide spatial information, while spatial transcriptomics technologies allow gene expression information to be obtained from intact tissue sections in the original physiological context at a spatial resolution. Various biological insights can be generated into tissue architecture and further the elucidation of the interaction between cells and the microenvironment. Thus, we can gain a general understanding of histogenesis processes and disease pathogenesis, etc. Furthermore, in silico methods involving the widely distributed R and Python packages for data analysis play essential roles in deriving indispensable bioinformation and eliminating technological limitations. In this review, we summarize available technologies of spatial transcriptomics, probe into several applications, discuss the computational strategies and raise future perspectives, highlighting the developmental potential.",37202762,PMC10193345,10.1186/s12967-023-04150-2,9
CLEAR: coverage-based limiting-cell experiment analysis for RNA-seq,"Background:Direct cDNA preamplification protocols developed for single-cell RNA-seq have enabled transcriptome profiling of precious clinical samples and rare cell populations without the need for sample pooling or RNA extraction. We term the use of single-cell chemistries for sequencing low numbers of cells limiting-cell RNA-seq (lcRNA-seq). Currently, there is no customized algorithm to select robust/low-noise transcripts from lcRNA-seq data for between-group comparisons.Methods:Herein, we present CLEAR, a workflow that identifies reliably quantifiable transcripts in lcRNA-seq data for differentially expressed genes (DEG) analysis. Total RNA obtained from primary chronic lymphocytic leukemia (CLL) CD5+ and CD5- cells were used to develop the CLEAR algorithm. Once established, the performance of CLEAR was evaluated with FACS-sorted cells enriched from mouse Dentate Gyrus (DG).Results:When using CLEAR transcripts vs. using all transcripts in CLL samples, downstream analyses revealed a higher proportion of shared transcripts across three input amounts and improved principal component analysis (PCA) separation of the two cell types. In mouse DG samples, CLEAR identifies noisy transcripts and their removal improves PCA separation of the anticipated cell populations. In addition, CLEAR was applied to two publicly-available datasets to demonstrate its utility in lcRNA-seq data from other institutions. If imputation is applied to limit the effect of missing data points, CLEAR can also be used in large clinical trials and in single cell studies.Conclusions:lcRNA-seq coupled with CLEAR is widely used in our institution for profiling immune cells (circulating or tissue-infiltrating) for its transcript preservation characteristics. CLEAR fills an important niche in pre-processing lcRNA-seq data to facilitate transcriptome profiling and DEG analysis. We demonstrate the utility of CLEAR in analyzing rare cell populations in clinical samples and in murine neural DG region without sample pooling.",32039730,PMC7008572,10.1186/s12967-020-02247-6,8
Challenges and considerations for single-cell and spatially resolved transcriptomics sample collection during spaceflight,"Single-cell RNA sequencing (scRNA-seq) and spatially resolved transcriptomics (SRT) have experienced rapid development in recent years. The findings of spaceflight-based scRNA-seq and SRT investigations are likely to improve our understanding of life in space and our comprehension of gene expression in various cell systems and tissue dynamics. However, compared to their Earth-based counterparts, gene expression experiments conducted in spaceflight have not experienced the same pace of development. Out of the hundreds of spaceflight gene expression datasets available, only a few used scRNA-seq and SRT. In this perspective piece, we explore the growing importance of scRNA-seq and SRT in space biology and discuss the challenges and considerations relevant to robust experimental design to enable growth of these methods in the field.",36452864,PMC9701605,10.1016/j.crmeth.2022.100325,2
Single-cell and spatial transcriptomics: Bridging current technologies with long-read sequencing,"Single-cell technologies have transformed biomedical research over the last decade, opening up new possibilities for understanding cellular heterogeneity, both at the genomic and transcriptomic level. In addition, more recent developments of spatial transcriptomics technologies have made it possible to profile cells in their tissue context. In parallel, there have been substantial advances in sequencing technologies, and the third generation of methods are able to produce reads that are tens of kilobases long, with error rates matching the second generation short reads. Long reads technologies make it possible to better map large genome rearrangements and quantify isoform specific abundances. This further improves our ability to characterize functionally relevant heterogeneity. Here, we show how researchers have begun to combine single-cell, spatial transcriptomics, and long-read technologies, and how this is resulting in powerful new approaches to profiling both the genome and the transcriptome. We discuss the achievements so far, and we highlight remaining challenges and opportunities.",38368637,,10.1016/j.mam.2024.101255,1
Single cell analysis of the developing mouse kidney provides deeper insight into marker gene expression and ligand-receptor crosstalk,"Recent advances in the generation of kidney organoids and the culture of primary nephron progenitors from mouse and human have been based on knowledge of the molecular basis of kidney development in mice. Although gene expression during kidney development has been intensely investigated, single cell profiling provides new opportunities to further subsect component cell types and the signalling networks at play. Here, we describe the generation and analysis of 6732 single cell transcriptomes from the fetal mouse kidney [embryonic day (E)18.5] and 7853 sorted nephron progenitor cells (E14.5). These datasets provide improved resolution of cell types and specific markers, including subdivision of the renal stroma and heterogeneity within the nephron progenitor population. Ligand-receptor interaction and pathway analysis reveals novel crosstalk between cellular compartments and associates new pathways with differentiation of nephron and ureteric epithelium cell types. We identify transcriptional congruence between the distal nephron and ureteric epithelium, showing that most markers previously used to identify ureteric epithelium are not specific. Together, this work improves our understanding of metanephric kidney development and provides a template to guide the regeneration of renal tissue.",31118232,,10.1242/dev.178673,75
psupertime: supervised pseudotime analysis for time-series single-cell RNA-seq data,"Motivation:Improvements in single-cell RNA-seq technologies mean that studies measuring multiple experimental conditions, such as time series, have become more common. At present, few computational methods exist to infer time series-specific transcriptome changes, and such studies have therefore typically used unsupervised pseudotime methods. While these methods identify cell subpopulations and the transitions between them, they are not appropriate for identifying the genes that vary coherently along the time series. In addition, the orderings they estimate are based only on the major sources of variation in the data, which may not correspond to the processes related to the time labels.Results:We introduce psupertime, a supervised pseudotime approach based on a regression model, which explicitly uses time-series labels as input. It identifies genes that vary coherently along a time series, in addition to pseudotime values for individual cells, and a classifier that can be used to estimate labels for new data with unknown or differing labels. We show that psupertime outperforms benchmark classifiers in terms of identifying time-varying genes and provides better individual cell orderings than popular unsupervised pseudotime techniques. psupertime is applicable to any single-cell RNA-seq dataset with sequential labels (e.g. principally time series but also drug dosage and disease progression), derived from either experimental design and provides a fast, interpretable tool for targeted identification of genes varying along with specific biological processes.Availability and implementation:R package available at github.com/wmacnair/psupertime and code for results reproduction at github.com/wmacnair/psupplementary.Supplementary information:Supplementary data are available at Bioinformatics online.",35758781,PMC9235474,10.1093/bioinformatics/btac227,10
Phylogenetic Comparative Analysis of Single-Cell Transcriptomes Reveals Constrained Accumulation of Gene Expression Heterogeneity during Clonal Expansion,"In the same way that a phylogeny summarizes the evolutionary history of species, a cell lineage tree describes the process of clonal expansion, in which gene expression differences between cells naturally accrue as a result of stochastic partitioning and imperfect expression control. How is functional homeostasis, a key factor in the biological function of any population of cells, maintained in the face of such continuous accumulation of transcriptomic heterogeneity remains largely unresolved. To answer this question, we experimentally determined the single-cell transcriptomes and lineage relationships of up to 50% cells in single-HEK293-seeded colonies. Phylogenetic comparative analyses of the single-cell transcriptomes on the cell lineage tree revealed three lines of evidence for the constrained accumulation of transcriptome heterogeneity among cells, including rapid saturation of transcriptomic heterogeneity upon four cell divisions, reduced expression differences within subtrees closer to expression boundaries, and cofluctuations among genes. Our analyses showcased the applicability of phylogenetic comparative methods in cell lineage trees, demonstrated the constrained accumulation of transcriptomic heterogeneity, and provided novel insight into the functional homeostasis of cell populations.",37183780,PMC10210624,10.1093/molbev/msad113,1
Analysis and Visualization of Single-Cell Sequencing Data with Scanpy and MetaCell: A Tutorial,"The emergence and development of single-cell RNA sequencing (scRNA-seq) techniques enable researchers to perform large-scale analysis of the transcriptomic profiling at cell-specific resolution. Unsupervised clustering of scRNA-seq data is central for most studies, which is essential to identify novel cell types and their gene expression logics. Although an increasing number of algorithms and tools are available for scRNA-seq analysis, a practical guide for users to navigate the landscape remains underrepresented. This chapter presents an overview of the scRNA-seq data analysis pipeline, quality control, batch effect correction, data standardization, cell clustering and visualization, cluster correlation analysis, and marker gene identification. Taking the two broadly used analysis packages, i.e., Scanpy and MetaCell, as examples, we provide a hands-on guideline and comparison regarding the best practices for the above essential analysis steps and data visualization. Additionally, we compare both packages and algorithms using a scRNA-seq dataset of the ctenophore Mnemiopsis leidyi, which is representative of one of the earliest animal lineages, critical to understanding the origin and evolution of animal novelties. This pipeline can also be helpful for analyses of other taxa, especially prebilaterian animals, where these tools are under development (e.g., placozoan and Porifera).",38668977,,10.1007/978-1-0716-3642-8_17,0
