DOI,Title,year,Abstract,Semantic Scholar ID,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id
10.3390/bioengineering11040325,Endothelial Reprogramming in Atherosclerosis.,2024.0,"Atherosclerosis (AS) is a severe vascular disease that results in millions of        cases of mortality each year. The development of atherosclerosis is associated        with vascular structural lesions, characterized by the accumulation of immune        cells, mesenchymal cells, lipids, and an extracellular matrix at the intimal        resulting in the formation of an atheromatous plaque. AS involves complex        interactions among various cell types, including macrophages, endothelial cells        (ECs), and smooth muscle cells (SMCs). Endothelial dysfunction plays an essential        role in the initiation and progression of AS. Endothelial dysfunction can        encompass a constellation of various non-adaptive dynamic alterations of biology        and function, termed ""endothelial reprogramming"". This phenomenon involves        transitioning from a quiescent, anti-inflammatory state to a pro-inflammatory and        proatherogenic state and alterations in endothelial cell identity, such as        endothelial to mesenchymal transition (EndMT) and endothelial-to-immune cell-like        transition (EndIT). Targeting these processes to restore endothelial balance and        prevent cell identity shifts, alongside modulating epigenetic factors, can        attenuate atherosclerosis progression. In the present review, we discuss the role        of endothelial cells in AS and summarize studies in endothelial reprogramming        associated with the pathogenesis of AS.",4ccad93734b70abf212cb57511f4b9cecbc22aed,https://www.semanticscholar.org/paper/4ccad93734b70abf212cb57511f4b9cecbc22aed,38671747,PMC11048243,background,False,"Bioengineering (Basel, Switzerland)",101676056
10.1038/s44161-023-00344-5,Translational landscape of direct cardiac reprogramming reveals a role of Ybx1 in        repressing cardiac fate acquisition.,2023.0,"Direct reprogramming of fibroblasts into induced cardiomyocytes holds great        promise for heart regeneration. Although considerable progress has been made in        understanding the transcriptional and epigenetic mechanisms of iCM reprogramming,        its translational regulation remains largely unexplored. Here, we characterized        the translational landscape of iCM reprogramming through integrative ribosome and        transcriptomic profiling, and found extensive translatome repatterning during        this process. Loss of function screening for translational regulators uncovered        Ybx1 as a critical barrier to iCM induction. In a mouse model of myocardial        infarction, removing Ybx1 enhanced in vivo reprogramming, resulting in improved        heart function and reduced scar size. Mechanistically, Ybx1 depletion        de-repressed the translation of its direct targets SRF and Baf60c, both of which        mediated the effect of Ybx1 depletion on iCM generation. Furthermore, removal of        Ybx1 allowed single factor Tbx5-mediated iCM conversion. In summary, this study        revealed a new layer of regulatory mechanism that controls cardiac reprogramming        at the translational level.",618f57cae9d1d2c132f31f755d2eb29215022722,https://www.semanticscholar.org/paper/618f57cae9d1d2c132f31f755d2eb29215022722,38524149,PMC10959502,result,False,Nature cardiovascular research,9918284280206676
10.1016/j.omtn.2024.102160,Modifying miRs for effective reprogramming of fibroblasts to cardiomyocytes.,2024.0,"Reprogramming scar fibroblasts into cardiomyocytes has been proposed to reverse        the damage associated with myocardial infarction. However, the limited        improvement in cardiac function calls for enhanced strategies. We reported        enhanced efficacy of our miR reprogramming cocktail miR combo (miR-1, miR-133a,        miR-208a, and miR-499) via RNA-sensing receptor stimulation. We hypothesized that        we could combine RNA-sensing receptor activation with fibroblast reprogramming by        chemically modifying miR combo. To test the hypothesis, miR combo was modified to        enhance interaction with the RNA-sensing receptor Rig1 via the addition of a        5'-triphosphate (5'ppp) group. Importantly, when compared with unmodified miR        combo, 5'ppp-modified miR combo markedly improved reprogramming efficacy        in vitro. Enhanced reprogramming efficacy correlated with a type-I interferon        immune response with strong and selective secretion of interferon β (IFNβ).        Antibody blocking studies and media replacement experiments indicated that        5'ppp-miR combo utilized IFNβ to enhance fibroblast reprogramming efficacy. In        conclusion, miRs can acquire powerful additional roles through chemical        modification that potentially increases their clinical applications.",ca5a68e80dc1a4454c8501f8bbb9ee393b514a01,https://www.semanticscholar.org/paper/ca5a68e80dc1a4454c8501f8bbb9ee393b514a01,38495845,PMC10943962,background,False,Molecular therapy. Nucleic acids,101581621
10.3389/fcell.2024.1343106,Next-generation direct reprogramming.,2024.0,"Tissue repair is significantly compromised in the aging human body resulting in        critical disease conditions (such as myocardial infarction or Alzheimer's        disease) and imposing a tremendous burden on global health. Reprogramming        approaches (partial or direct reprogramming) are considered fruitful in        addressing this unmet medical need. However, the efficacy, cellular maturity and        specific targeting are still major challenges of direct reprogramming. Here we        describe novel approaches in direct reprogramming that address these challenges.        Extracellular signaling pathways (Receptor tyrosine kinases, RTK and Receptor        Serine/Theronine Kinase, RSTK) and epigenetic marks remain central in rewiring        the cellular program to determine the cell fate. We propose that modern protein        design technologies (AI-designed minibinders regulating RTKs/RSTK, epigenetic        enzymes, or pioneer factors) have potential to solve the aforementioned        challenges. An efficient transdifferentiation/direct reprogramming may in the        future provide molecular strategies to collectively reduce aging, fibrosis, and        degenerative diseases.",97aab5a6dd2764a03392f04a5abc5d6071cc271f,https://www.semanticscholar.org/paper/97aab5a6dd2764a03392f04a5abc5d6071cc271f,38371924,PMC10869521,background,False,Frontiers in cell and developmental biology,101630250
10.1016/j.jacbts.2023.06.012,Fibroblast Reprogramming in Cardiac Repair.,2023.0,"Cardiovascular disease is one of the major causes of death worldwide. Limited        proliferative capacity of adult mammalian cardiomyocytes has prompted researchers        to exploit regenerative therapy after myocardial injury, such as myocardial        infarction, to attenuate heart dysfunction caused by such injury. Direct cardiac        reprogramming is a recently emerged promising approach to repair damaged        myocardium by directly converting resident cardiac fibroblasts into        cardiomyocyte-like cells. The achievement of in vivo direct reprogramming of        fibroblasts has been shown, by multiple laboratories independently, to improve        cardiac function and mitigate fibrosis post-myocardial infarction, which holds        great potential for clinical application. There have been numerous pieces of        valuable work in both basic and translational research to enhance our        understanding and continued refinement of direct cardiac reprogramming in recent        years. However, there remain many challenges to overcome before we can truly take        advantage of this technique to treat patients with ischemic cardiac diseases.        Here, we review recent progress of fibroblast reprogramming in cardiac repair,        including the optimization of several reprogramming strategies, mechanistic        exploration, and translational efforts, and we make recommendations for future        research to further understand and translate direct cardiac reprogramming from        bench to bedside. Challenges relating to these efforts will also be discussed.",9caa9f5f9acaa01ff5e894f05709c46ff52a6a98,https://www.semanticscholar.org/paper/9caa9f5f9acaa01ff5e894f05709c46ff52a6a98,38362341,PMC10864899,,False,JACC. Basic to translational science,101677259
10.1186/s13619-023-00182-7,Harnessing stem cell and lineage reprogramming technology to treat cardiac        fibrosis.,2023.0,"Cardiac fibrosis is a pathological response characterized by excessive deposition        of fibrous connective tissue within the heart. It typically occurs following        cardiac injuries or diseases. However, the lack of suitable models for disease        modeling and high-throughput drug discovery has hindered the establishment of an        effective treatments for cardiac fibrosis. The emergence and rapid progress of        stem-cell and lineage reprogramming technology offer an unprecedented opportunity        to develop an improved humanized and patient-specific model for studying cardiac        fibrosis, providing a platform for screening potential drugs and synchronously        elucidating the underlying molecular mechanisms. Furthermore, reprogramming        cardiac fibroblasts into cardiomyocyte-like cells to reduce scar volume and        induce myocardial tissue regeneration is a promising approach in treating cardiac        fibrosis. In this review, we summarize the current advancements in stem cell        technologies applied to study cardiac fibrosis and provide insights for future        investigations into its mechanisms, drug discovery as well as therapy method.",332558ebe915fe28f85e8b51512a7dfc0f62361d,https://www.semanticscholar.org/paper/332558ebe915fe28f85e8b51512a7dfc0f62361d,38072904,PMC10710977,methodology,False,"Cell regeneration (London, England)",101627311
10.3390/biomedicines11112913,Chemical Transdifferentiation of Somatic Cells: Unleashing the Power of Small        Molecules.,2023.0,"Chemical transdifferentiation is a technique that utilizes small molecules to        directly convert one cell type into another without passing through an        intermediate stem cell state. This technique offers several advantages over other        methods of cell reprogramming, such as simplicity, standardization, versatility,        no ethical and safety concern and patient-specific therapies. Chemical        transdifferentiation has been successfully applied to various cell types across        different tissues and organs, and its potential applications are rapidly        expanding as scientists continue to explore new combinations of small molecules        and refine the mechanisms driving cell fate conversion. These applications have        opened up new possibilities for regenerative medicine, disease modeling, drug        discovery and tissue engineering. However, there are still challenges and        limitations that need to be overcome before chemical transdifferentiation can be        translated into clinical practice. These include low efficiency and        reproducibility, incomplete understanding of the molecular mechanisms, long-term        stability and functionality of the transdifferentiated cells, cell-type        specificity and scalability. In this review, we compared the commonly used        methods for cell transdifferentiation in recent years and discussed the current        progress and future perspective of the chemical transdifferentiation of somatic        cells and its potential impact on biomedicine. We believe that with ongoing        research and technological advancements, the future holds tremendous promise for        harnessing the power of small molecules to shape the cellular landscape and        revolutionize the field of biomedicine.",32e0cc16c6ca10f7f5da2e0c31f9dffb58383532,https://www.semanticscholar.org/paper/32e0cc16c6ca10f7f5da2e0c31f9dffb58383532,38001913,PMC10669320,,False,Biomedicines,101691304
10.1038/s42003-023-05225-y,PC3T: a signature-driven predictor of chemical compounds for cellular transition.,2023.0,"Cellular transitions hold great promise in translational medicine research.        However, therapeutic applications are limited by the low efficiency and safety        concerns of using transcription factors. Small molecules provide a temporal and        highly tunable approach to overcome these issues. Here, we present PC3T, a        computational framework to enrich molecules that induce desired cellular        transitions, and PC3T was able to consistently enrich small molecules that had        been experimentally validated in both bulk and single-cell datasets. We then        predicted small molecule reprogramming of fibroblasts into hepatic        progenitor-like cells (HPLCs). The converted cells exhibited epithelial cell-like        morphology and HPLC-like gene expression pattern. Hepatic functions were also        observed, such as glycogen storage and lipid accumulation. Finally, we collected        and manually curated a cell state transition resource containing 224 time-course        gene expression datasets and 153 cell types. Our framework, together with the        data resource, is freely available at http://pc3t.idrug.net.cn/ . We believe that        PC3T is a powerful tool to promote chemical-induced cell state transitions.",0e42f95ca58dac495a1223b0b028e74d75d72980,https://www.semanticscholar.org/paper/0e42f95ca58dac495a1223b0b028e74d75d72980,37758874,PMC10533498,,False,Communications biology,101719179
10.1186/s41065-023-00297-6,Construction and validation of a cuproptosis-related diagnostic gene signature        for atrial fibrillation based on ensemble learning.,2023.0,"BACKGROUND: Atrial fibrillation (AF) is the most common type of cardiac        arrhythmia. Nonetheless, the accurate diagnosis of this condition continues to        pose a challenge when relying on conventional diagnostic techniques. Cell death        is a key factor in the pathogenesis of AF. Existing investigations suggest that        cuproptosis may also contribute to AF. This investigation aimed to identify a        novel diagnostic gene signature associated with cuproptosis for AF using ensemble        learning methods and discover the connection between AF and cuproptosis. RESULTS:        Two genes connected to cuproptosis, including solute carrier family 31 member 1        (SLC31A1) and lipoic acid synthetase (LIAS), were selected by integration of        random forests and eXtreme Gradient Boosting algorithms. Subsequently, a        diagnostic model was constructed that includes the two genes for AF using the        Light Gradient Boosting Machine (LightGBM) algorithm with good performance (the        area under the curve value > 0.75). The microRNA-transcription factor-messenger        RNA network revealed that homeobox A9 (HOXA9) and Tet methylcytosine dioxygenase        1 (TET1) could target SLC31A1 and LIAS in AF. Functional enrichment analysis        indicated that cuproptosis might be connected to immunocyte activities.        Immunocyte infiltration analysis using the CIBERSORT algorithm suggested a        greater level of neutrophils in the AF group. According to the outcomes of        Spearman's rank correlation analysis, there was a negative relation between        SLC31A1 and resting dendritic cells and eosinophils. The study found a positive        relationship between LIAS and eosinophils along with resting memory CD4(+) T        cells. Conversely, a negative correlation was detected between LIAS and CD8(+) T        cells and regulatory T cells. CONCLUSIONS: This study successfully constructed a        cuproptosis-related diagnostic model for AF based on the LightGBM algorithm and        validated its diagnostic efficacy. Cuproptosis may be regulated by HOXA9 and TET1        in AF. Cuproptosis might interact with infiltrating immunocytes in AF.",9050d04de352690db96ce90c4807f33738a07aa9,https://www.semanticscholar.org/paper/9050d04de352690db96ce90c4807f33738a07aa9,37620966,PMC10464108,background,False,Hereditas,374654
10.26508/lsa.202302121,c-JUN is a barrier in hESC to cardiomyocyte transition.,2023.0,"Loss of c-JUN leads to early mouse embryonic death, possibly because of a failure        to develop a normal cardiac system. How c-JUN regulates human cardiomyocyte cell        fate remains unknown. Here, we used the in vitro differentiation of human        pluripotent stem cells into cardiomyocytes to study the role of c-JUN.        Surprisingly, the knockout of c-JUN improved cardiomyocyte generation, as        determined by the number of TNNT2+ cells. ATAC-seq data showed that the c-JUN        defect led to increased chromatin accessibility on critical regulatory elements        related to cardiomyocyte development. ChIP-seq data showed that the knockout        c-JUN increased RBBP5 and SETD1B expression, leading to improved H3K4me3        deposition on key genes that regulate cardiogenesis. The c-JUN KO phenotype could        be copied using the histone demethylase inhibitor CPI-455, which also        up-regulated H3K4me3 levels and increased cardiomyocyte generation. Single-cell        RNA-seq data defined three cell branches, and knockout c-JUN activated more        regulons that are related to cardiogenesis. In summary, our data demonstrated        that c-JUN could regulate cardiomyocyte cell fate by modulating H3K4me3        modification and chromatin accessibility and shed light on how c-JUN regulates        heart development in humans.",2fe668dafbe04bb1cc325343de1e1d6a8e04570a,https://www.semanticscholar.org/paper/2fe668dafbe04bb1cc325343de1e1d6a8e04570a,37604584,PMC10442936,,False,Life science alliance,101728869
