PMID,journal_title,Journal_id
33794304,Biotechnology advances,8403708
37170220,BMC medicine,101190723
36596352,Seminars in cancer biology,9010218
26915271,Advances in genetics,370421
34791014,Briefings in bioinformatics,100912837
36584672,Cancer cell,101130617
37992683,Cell reports. Medicine,101766894
33091314,Genome,8704544
36087702,Ageing research reviews,101128963
30657866,"Bioinformatics (Oxford, England)",9808944
32807900,Nature reviews. Genetics,100962779
33248648,Analytica chimica acta,370534
34261540,Genome medicine,101475844
36344863,Behavior genetics,251711
33260881,Biomolecules,101596414
37489460,"Medical sciences (Basel, Switzerland)",101629322
36357703,British journal of cancer,370635
32875713,Proteomics,101092707
37669321,eLife,101579614
33827270,Biological research for nursing,9815758
37875043,Computers in biology and medicine,1250250
34353282,BMC bioinformatics,100965194
30382569,Advances in experimental medicine and biology,121103
34849583,"Bioinformatics (Oxford, England)",9808944
37952681,Neurobiology of disease,9500169
37344825,Respiratory research,101090633
37742034,Journal of translational medicine,101190741
37501187,European journal of medical research,9517857
35854350,Genome biology,100960660
36929074,"Methods in molecular biology (Clifton, N.J.)",9214969
38574738,Cell metabolism,101233170
32048534,Epigenomics,101519720
34111889,Briefings in bioinformatics,100912837
33147797,International journal of molecular sciences,101092791
26969681,Briefings in bioinformatics,100912837
37856991,Phytomedicine : international journal of phytotherapy and phytopharmacology,9438794
31220206,Briefings in bioinformatics,100912837
37216923,"Bioinformatics (Oxford, England)",9808944
36864611,"Bioinformatics (Oxford, England)",9808944
33902514,BMC cancer,100967800
37439331,Nucleic acids research,411011
30685747,Statistical applications in genetics and molecular biology,101176023
36805214,Computers in biology and medicine,1250250
36497046,Cells,101600052
37781033,International journal of biological sciences,101235568
31243065,Molecular & cellular proteomics : MCP,101125647
36252928,Briefings in bioinformatics,100912837
38105215,BMC bioinformatics,100965194
27130220,"Genetics, selection, evolution : GSE",9114088
34177908,Frontiers in immunology,101560960
36383167,"Bioinformatics (Oxford, England)",9808944
29688803,Omics : a journal of integrative biology,101131135
36288358,PloS one,101285081
28981577,Briefings in bioinformatics,100912837
37534875,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the",101235742
31257224,Aging,101508617
31114869,Nucleic acids research,411011
38217405,GigaScience,101596872
33801830,Biomolecules,101596414
33624266,"Journal of microbiology (Seoul, Korea)",9703165
37216410,PLoS genetics,101239074
34340766,Advances in protein chemistry and structural biology,101497281
37307177,IEEE journal of biomedical and health informatics,101604520
33750001,Molecular systems biology,101235389
34028557,"Bioinformatics (Oxford, England)",9808944
35039832,Briefings in bioinformatics,100912837
31953831,"Methods in molecular biology (Clifton, N.J.)",9214969
35163161,International journal of molecular sciences,101092791
35209912,BMC medical genomics,101319628
37375323,"Molecules (Basel, Switzerland)",100964009
34185062,"Bioinformatics (Oxford, England)",9808944
38659038,Human genomics,101202210
38058188,Briefings in bioinformatics,100912837
31289834,GigaScience,101596872
33676373,Briefings in functional genomics,101528229
31849014,"Methods in molecular biology (Clifton, N.J.)",9214969
36944993,Genome biology,100960660
32034435,Archives of toxicology,417615
34072237,International journal of molecular sciences,101092791
33258948,"Bioinformatics (Oxford, England)",9808944
36882008,Briefings in bioinformatics,100912837
38001063,Nature communications,101528555
38003263,International journal of molecular sciences,101092791
32907876,Molecular & cellular proteomics : MCP,101125647
33737557,Scientific reports,101563288
36433785,Briefings in bioinformatics,100912837
36007996,Progress in molecular biology and translational science,101498165
38166610,Gut microbes,101495343
35497496,Cell reports methods,9918227360606676
33351794,PLoS computational biology,101238922
31734462,Biochimica et biophysica acta. General subjects,101731726
33276666,International journal of molecular sciences,101092791
37018234,PloS one,101285081
38278975,British journal of cancer,370635
37610102,Gut microbes,101495343
37694487,Journal of bioinformatics and computational biology,101187344
37378473,"Plant, cell & environment",9309004
36768780,International journal of molecular sciences,101092791
37239321,Genes,101551097
31603503,FEMS yeast research,101085384
37937887,Statistical applications in genetics and molecular biology,101176023
37930028,Briefings in bioinformatics,100912837
34883510,Nucleic acids research,411011
37201441,Computers in biology and medicine,1250250
37329617,Computers in biology and medicine,1250250
38238823,Genome medicine,101475844
29697367,BMC medical genomics,101319628
37393865,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,8213295
34554215,"Bioinformatics (Oxford, England)",9808944
33008459,Human genomics,101202210
31399542,Molecular & cellular proteomics : MCP,101125647
32933515,BMC medical informatics and decision making,101088682
36944885,"Methods in molecular biology (Clifton, N.J.)",9214969
38040703,Scientific data,101640192
34417589,Nature reviews. Nephrology,101500081
37475862,Frontiers in immunology,101560960
36879094,Scientific reports,101563288
36513636,Nature communications,101528555
35157023,"Bioinformatics (Oxford, England)",9808944
37882747,"Bioinformatics (Oxford, England)",9808944
34383739,PLoS computational biology,101238922
38290765,"Bioinformatics (Oxford, England)",9808944
32778869,Briefings in bioinformatics,100912837
37686047,International journal of molecular sciences,101092791
33989895,Computers in biology and medicine,1250250
33584660,Frontiers in immunology,101560960
32756901,Biochemical Society transactions,7506897
35739399,Nature reviews. Clinical oncology,101500077
29429018,Breast cancer research and treatment,8111104
32282793,PLoS computational biology,101238922
37410807,Journal of experimental botany,9882906
37566077,Cells,101600052
34103512,Nature communications,101528555
36416843,"Bioscience, biotechnology, and biochemistry",9205717
35639516,Nucleic acids research,411011
29800320,Nucleic acids research,411011
37817584,"Journal of the Royal Society, Interface",101217269
37651607,Briefings in bioinformatics,100912837
26560100,BMC genomics,100965258
30368064,Current opinion in biotechnology,9100492
38491408,Biology of sex differences,101548963
32236523,GigaScience,101596872
33096244,Journal of biomedical informatics,100970413
38017403,BMC genomics,100965258
37995323,Molecular biology and evolution,8501455
37747674,Science China. Life sciences,101529880
32948838,Journal of human genetics,9808008
34891654,Annual International Conference of the IEEE Engineering in Medicine and Biology,101763872
34398192,"Bioinformatics (Oxford, England)",9808944
32691502,Genetic epidemiology,8411723
32763377,"Methods (San Diego, Calif.)",9426302
38539064,BMC bioinformatics,100965194
31119744,Journal of inherited metabolic disease,7910918
37794615,Toxicology mechanisms and methods,101134521
28193460,Biochimica et biophysica acta. Molecular and cell biology of lipids,101731727
37984232,Archives of medical research,9312706
37757861,Nucleic acids research,411011
38438871,BMC bioinformatics,100965194
36434961,Computer methods and programs in biomedicine,8506513
37382572,"Bioinformatics (Oxford, England)",9808944
33493265,Journal of molecular cell biology,101503669
36252814,"Genomics, proteomics & bioinformatics",101197608
38184630,Nature communications,101528555
31155677,Briefings in bioinformatics,100912837
30698638,Briefings in bioinformatics,100912837
33802234,International journal of molecular sciences,101092791
35622236,Biometrics,370625
33783596,Human genetics,7613873
37648722,Scientific reports,101563288
25629319,Journal of computational biology : a journal of computational molecular cell,9433358
36594155,Analytical chemistry,370536
33104790,Nucleic acids research,411011
31115884,"Methods in molecular biology (Clifton, N.J.)",9214969
37478378,Briefings in bioinformatics,100912837
28040685,Journal of the American Medical Informatics Association : JAMIA,9430800
37590102,IEEE/ACM transactions on computational biology and bioinformatics,101196755
37310261,The Plant journal : for cell and molecular biology,9207397
36739624,Computer methods and programs in biomedicine,8506513
37101150,BMC plant biology,100967807
36527108,Journal of translational medicine,101190741
37189439,Biomolecules,101596414
37295977,Trends in genetics : TIG,8507085
38493343,Briefings in bioinformatics,100912837
26351165,Yi chuan = Hereditas,9436478
37930027,Briefings in bioinformatics,100912837
27008008,"Methods in molecular biology (Clifton, N.J.)",9214969
33349678,Nature microbiology,101674869
31095701,Inflammatory bowel diseases,9508162
33066636,Nutrients,101521595
36600199,BMC bioinformatics,100965194
32138562,International reviews of immunology,8712260
30402498,BioMed research international,101600173
37321324,Toxicology and applied pharmacology,416575
38547401,"Bioinformatics (Oxford, England)",9808944
38007425,Lipids in health and disease,101147696
37710163,BMC plant biology,100967807
37725723,IEEE journal of biomedical and health informatics,101604520
37178426,Journal of cancer research and clinical oncology,7902060
26626453,BMC genomics,100965258
34951053,Journal of clinical laboratory analysis,8801384
31953825,"Methods in molecular biology (Clifton, N.J.)",9214969
32294413,Trends in genetics : TIG,8507085
37696182,Computers in biology and medicine,1250250
36929841,Briefings in bioinformatics,100912837
33031715,Genome,8704544
36637211,"Bioinformatics (Oxford, England)",9808944
37497720,Briefings in bioinformatics,100912837
38632097,Yi chuan = Hereditas,9436478
34954788,"Bioinformatics (Oxford, England)",9808944
35050714,Journal of computational biology : a journal of computational molecular cell,9433358
30631320,Frontiers in immunology,101560960
35016614,BMC bioinformatics,100965194
31029063,GigaScience,101596872
35549894,BMC genomics,100965258
35750315,Journal of genetics and genomics = Yi chuan xue bao,101304616
37542054,Scientific reports,101563288
37267828,Computers in biology and medicine,1250250
36162197,Computers in biology and medicine,1250250
34236875,Journal of proteome research,101128775
38580907,BMC genomics,100965258
37410704,PLoS computational biology,101238922
36933628,"Methods (San Diego, Calif.)",9426302
34572592,Biomolecules,101596414
34320887,Expert review of proteomics,101223548
32299344,BMC bioinformatics,100965194
38397401,Biomolecules,101596414
37673824,Journal of cancer research and clinical oncology,7902060
32447926,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,8208604
36929930,"Bioinformatics (Oxford, England)",9808944
38048082,Briefings in bioinformatics,100912837
32496509,Briefings in bioinformatics,100912837
34383882,"Bioinformatics (Oxford, England)",9808944
36215030,Nucleic acids research,411011
38355833,Nature protocols,101284307
34256961,Seminars in perinatology,7801132
27295212,BMC bioinformatics,100965194
33830879,Annals of medicine,8906388
38670415,"Methods (San Diego, Calif.)",9426302
31823712,BMC bioinformatics,100965194
37095447,BMC genomics,100965258
36130281,Nucleic acids research,411011
36916422,Molecular omics,101713384
37285682,Archives of oral biology,116711
33969404,Integrative biology : quantitative biosciences from nano to macro,101478378
37490833,Computers in biology and medicine,1250250
32759821,Genes,101551097
33638948,Aging,101508617
37323106,WIREs mechanisms of disease,9918227353306676
27649151,International journal of molecular sciences,101092791
36445207,Briefings in bioinformatics,100912837
37740295,"Bioinformatics (Oxford, England)",9808944
34839017,Journal of biomedical informatics,100970413
38534348,Cells,101600052
31861438,International journal of molecular sciences,101092791
37312079,BMC cancer,100967800
38493154,Nature communications,101528555
37491302,Journal of translational medicine,101190741
37559718,Frontiers in immunology,101560960
37269418,Journal of mammary gland biology and neoplasia,9601804
37671028,Cell reports methods,9918227360606676
38215789,Human molecular genetics,9208958
37770437,Nature communications,101528555
37550748,Journal of ovarian research,101474849
35466851,Expert review of proteomics,101223548
27477210,"Methods (San Diego, Calif.)",9426302
35638426,Frontiers in bioscience (Landmark edition),101612996
31126983,Molecular & cellular proteomics : MCP,101125647
37682479,"Methods in molecular biology (Clifton, N.J.)",9214969
28811702,World journal of gastroenterology,100883448
31853838,Journal of neuro-oncology,8309335
34478501,"Bioinformatics (Oxford, England)",9808944
31792509,Briefings in bioinformatics,100912837
38527092,PLoS computational biology,101238922
36919242,Molecular plant,101465514
35445698,"Bioinformatics (Oxford, England)",9808944
35863045,"Bioinformatics (Oxford, England)",9808944
26787660,"Bioinformatics (Oxford, England)",9808944
35804156,Pediatric research,100714
34871738,Neurobiology of disease,9500169
31504184,"Bioinformatics (Oxford, England)",9808944
37207338,Nucleic acids research,411011
37960344,Nutrients,101521595
38022625,Frontiers in immunology,101560960
35104608,Progress in neuro-psychopharmacology & biological psychiatry,8211617
37811889,Nucleic acids research,411011
37943554,Omics : a journal of integrative biology,101131135
31672996,Scientific data,101640192
31296204,BMC medical genomics,101319628
37940229,Journal of the American College of Cardiology,8301365
33239644,Scientific reports,101563288
37159321,IEEE transactions on medical imaging,8310780
38243335,Microbiome,101615147
26821531,BMC bioinformatics,100965194
38484941,Biochimica et biophysica acta. Molecular basis of disease,101731730
37000949,Journal of proteome research,101128775
37543247,"Brain, behavior, and immunity",8800478
37669939,Nature communications,101528555
38244111,Functional & integrative genomics,100939343
37522887,"Bioinformatics (Oxford, England)",9808944
37940369,The journal of gene medicine,9815764
35925427,Journal of cancer research and clinical oncology,7902060
35834966,Computers in biology and medicine,1250250
37922649,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,8213295
37020539,Frontiers in immunology,101560960
38124589,Mathematical biosciences and engineering : MBE,101197794
32033604,BMC medical informatics and decision making,101088682
29649387,Omics : a journal of integrative biology,101131135
37442417,"Genomics, proteomics & bioinformatics",101197608
35513291,Genomics,8800135
27686805,Advances in experimental medicine and biology,121103
37255323,"Bioinformatics (Oxford, England)",9808944
36902152,International journal of molecular sciences,101092791
38642188,Clinical oral investigations,9707115
34705655,IEEE/ACM transactions on computational biology and bioinformatics,101196755
37093328,Molecular genetics and genomics : MGG,101093320
36995007,"The journals of gerontology. Series A, Biological sciences and medical sciences",9502837
38006718,Psychiatry research,7911385
38279573,Advanced biology,101775319
