Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor,relevance_score,cited_Normalized,impact_Normalized,final_score
Epigenetic Changes in Alzheimer's Disease: DNA Methylation and Histone Modification,"Alzheimer's disease (AD) is a devastating neurodegenerative disorder characterized by progressive cognitive decline and memory loss, imposing a significant burden on affected individuals and their families. Despite the recent promising progress in therapeutic approaches, more needs to be done to understand the intricate molecular mechanisms underlying the development and progression of AD. Growing evidence points to epigenetic changes as playing a pivotal role in the pathogenesis of the disease. The dynamic interplay between genetic and environmental factors influences the epigenetic landscape in AD, altering gene expression patterns associated with key pathological events associated with disease pathogenesis. To this end, epigenetic alterations not only impact the expression of genes implicated in AD pathogenesis but also contribute to the dysregulation of crucial cellular processes, including synaptic plasticity, neuroinflammation, and oxidative stress. Understanding the complex epigenetic mechanisms in AD provides new avenues for therapeutic interventions. This review comprehensively examines the role of DNA methylation and histone modifications in the context of AD. It aims to contribute to a deeper understanding of AD pathogenesis and facilitate the development of targeted therapeutic strategies.",38667333,PMC11049073,10.3390/cells13080719,0,Cells,101600052,7.666,0.8785228729248047,0.0,0.8060200668896321,2.060313723754883
Epigenetics and the neurodegenerative process,"Neurological diseases are multifactorial, genetic and environmental. Environmental factors such as diet, physical activity and emotional state are epigenetic factors. Environmental markers are responsible for epigenetic modifications. The effect of epigenetic changes is increased inflammation of the nervous system and neuronal damage. In recent years, it has been shown that epigenetic changes may cause an increased risk of neurological disorders but, currently, the relationship between epigenetic modifications and neurodegeneration remains unclear. This review summarizes current knowledge about neurological disorders caused by epigenetic changes in diseases such as Alzheimer's disease, Parkinson's disease, stroke and epilepsy. Advances in epigenetic techniques may be key to understanding the epigenetics of central changes in neurological diseases.",38511224,,10.2217/epi-2023-0416,0,Epigenomics,101519720,4.357,0.8299059271812439,0.0033444816053511705,0.45484949832775917,1.3700124526298167
Epigenetic Modifications by Estrogen and Androgen in Alzheimer's Disease,"For the development and maintenance of neuron networks in the brain, epigenetic mechanisms are necessary, as indicated by recent findings. This includes some of the high-order brain processes, such as behavior and cognitive functions. Epigenetic mechanisms could influence the pathophysiology or etiology of some neuronal diseases, altering disease susceptibility and therapy responses. Recent studies support epigenetic dysfunctions in neurodegenerative and psychiatric conditions, such as Alzheimer's disease (AD). These dysfunctions in epigenetic mechanisms also play crucial roles in the transgenerational effects of the environment on the brain and subsequently in the inheritance of pathologies. The possible role of gonadal steroids in the etiology and progression of neurodegenerative diseases, including Alzheimer's disease, has become the subject of a growing body of research over the last 20 years. Recent scientific findings suggest that epigenetic changes, driven by estrogen and androgens, play a vital role in brain functioning. Therefore, exploring the role of estrogen and androgen-based epigenetic changes in the brain is critical for the deeper understanding of AD. This review highlights the epigenetic modifications caused by these two gonadal steroids and the possible therapeutic strategies for AD.",35232367,,10.2174/1871527321666220225110501,1,CNS & neurological disorders drug targets,101269155,2.824,0.8124212622642517,0.12709030100334448,0.24749163879598662,1.0776708175592198
Neuroepigenetics and Alzheimer's Disease: An Update,"Epigenetics is the study of changes in gene expression which may be triggered by both genetic and environmental factors, and independent from changes to the underlying DNA sequence-a change in phenotype without a change in genotype-which in turn affects how cells read genes. Epigenetic changes represent a regular and natural occurrence but can be influenced also by factors such as age, environment, and disease state. Epigenetic modifications can manifest themselves not only as the manner in which cells terminally differentiate, but can have also deleterious effects, resulting in diseases such as cancer. At least three systems including DNA methylation, histone modification, and non-coding RNA (ncRNA)-associated gene silencing are thought to initiate and sustain epigenetic change. For example, in Alzheimer's disease (AD), both genetic and non-genetic factors contribute to disease etiopathology. While over 250 gene mutations have been related to familial AD, less than 5% of AD cases are explained by known disease genes. More than likely, non-genetic factors, probably triggered by environmental factors, are causative factors of late-onset AD. AD is associated with dysregulation of DNA methylation, histone modifications, and ncRNAs. Among the classes of ncRNA, microRNAs (miRNAs) have a well-established regulatory relevance. MicroRNAs are highly expressed in CNS neurons, where they play a major role in neuron differentiation, synaptogenesis, and plasticity. MicroRNAs impact higher cognitive functions, as their functional impairment is involved in the etiology of neurological diseases, including AD. Alterations in the miRNA network contribute to AD disease processes, e.g., in the regulation of amyloid peptides, tau, lipid metabolism, and neuroinflammation. MicroRNAs, both as biomarkers for AD and therapeutic targets, are in the early stages of exploration. In addition, emerging data suggest that altered transcription of long ncRNAs, endogenous, ncRNAs longer than 200 nucleotides, may be involved in an elevated risk for AD.",29991138,,10.3233/JAD-180259,13,Journal of Alzheimer's disease : JAD,9814863,4.16,0.7937461733818054,0.5886287625418061,0.36789297658862874,1.4259734565374445
Epigenetic Regulation of Neuroinflammation in Alzheimer's Disease,"Alzheimer's disease (AD) is a chronic and progressive neurodegenerative disease and clinically manifests with cognitive decline and behavioral disabilities. Over the past years, mounting studies have demonstrated that the inflammatory response plays a key role in the onset and development of AD, and neuroinflammation has been proposed as the third major pathological driving factor of AD, ranking after the two well-known core pathologies, amyloid Î² (AÎ²) deposits and neurofibrillary tangles (NFTs). Epigenetic mechanisms, referring to heritable changes in gene expression independent of DNA sequence alterations, are crucial regulators of neuroinflammation which have emerged as potential therapeutic targets for AD. Upon regulation of transcriptional repression or activation, epigenetic modification profiles are closely involved in inflammatory gene expression and signaling pathways of neuronal differentiation and cognitive function in central nervous system disorders. In this review, we summarize the current knowledge about epigenetic control mechanisms with a focus on DNA and histone modifications involved in the regulation of inflammatory genes and signaling pathways in AD, and the inhibitors under clinical assessment are also discussed.",38201283,PMC10778497,10.3390/cells13010079,1,Cells,101600052,7.666,0.7903685569763184,0.13043478260869565,0.8093645484949833,2.0335080907075302
Epigenetic Modifications in Neurological Diseases: Natural Products as Epigenetic Modulators a Treatment Strategy,"Epigenetic modifications, including DNA methylation, covalent histone modifications, and small noncoding RNAs, play a key role in regulating the gene expression. This regulatory mechanism is important in cellular differentiation and development. Recent advances in the field of epigenetics extended the role of epigenetic mechanisms in controlling key biological processes such as genome imprinting and X-chromosome inactivation. Aberrant epigenetic modifications are associated with the development of many diseases. The role of epigenetic modifications in various neurodegenerative disorders including Alzheimer's disease, Parkinson's disease, Huntington disease, epilepsy, and multiple sclerosis is rapidly emerging. The use of epigenetic modifying drugs to treat these diseases has been the interest in recent years. A number of natural products having diverse mechanism of action are used for drug discovery. For many years, natural compounds have been used to treat various neurodegenerative diseases, but the use of such compounds as epigenetic modulators to reverse or treat neurological diseases are not well studied. In this chapter, we mainly focus on how various epigenetic modifications play a key role in neurodegenerative diseases, their mechanism of action, and how it acts as a potential therapeutic target for epigenetic drugs to treat these diseases will be discussed.",27651245,,10.1007/978-3-319-28383-8_1,4,Advances in neurobiology,101571545,0.0,0.7856376767158508,0.3411371237458194,0.0,0.5396100307786744
Role of epigenetics in Alzheimer's disease pathogenesis,"Advances in molecular biology technologies have allowed uncovering the role of epigenetic regulation in several complex diseases, such as cancer and neurodegenerative disorders. Although the role of epigenetic mechanisms in Alzheimer's disease is still little understood, recent findings clearly show that such mechanisms are dysregulated during disease progression, already in its early stages. However, it is not clear if the observed epigenetic changes represent a cause or a consequence of the disease. Promising results are emerging from studies performed in peripheral blood DNA that could provide early biomarkers of the pathology. Moreover, given the dynamic nature of the epigenetic marks, intense research is carried out to investigate the therapeutic efficacy of compounds exerting epigenetic properties.",29888987,,10.2217/nmt-2018-0004,35,Neurodegenerative disease management,101517977,0.0,0.7849791049957275,0.8260869565217391,0.0033444816053511705,0.6362048543017844
"Environment, epigenetics and neurodegeneration: Focus on nutrition in Alzheimer's disease","Many different environmental factors (nutrients, pollutants, chemicals, physical activity, lifestyle, physical and mental stress) can modulate epigenetic markers in the developing and adult organism. Epigenetics, in turn, can cause and is associated with several neurodegenerative and aging-dependent human diseases. Alzheimer's disease certainly represents one of the most relevant neurodegenerative disorders due to its incidence and its huge socio-economic impact. Therefore, it is easy to understand why recent literature focuses on the epigenetic modifications associated with Alzheimer's disease and other neurodegenerative disorders. One of the most intriguing and, at the same time, worrying evidence is that even ""mild"" environmental factors (such as behavioral or physical stress) as well as the under-threshold exposure to pollutants and chemicals, can be effective. Finally, even mild nutrients disequilibria can result in long-lasting and functional alterations of many epigenetic markers, although they don't have an immediate acute effect. Therefore, we will probably have to re-define the current risk threshold for many factors, molecules and stresses. Among the many different environmental factors affecting the epigenome, nutrition represents one of the most investigated fields; the reasons are probably that each person interacts with nutrients and that, in turn, nutrients can modulate at molecular level the epigenetic biochemical pathways. The role that nutrition can exert in modulating epigenetic modifications in Alzheimer's disease will be discussed with particular emphasis on the role of B vitamins and DNA methylation.",25456841,,10.1016/j.exger.2014.10.006,22,Experimental gerontology,0047061,0.0,0.7823300957679749,0.7290969899665551,0.006688963210702341,0.6152174554540959
Alzheimer's Disease-Related Epigenetic Changes: Novel Therapeutic Targets,"Aging is a significant risk factor for Alzheimer's disease (AD), although the precise mechanism and molecular basis of AD are not yet fully understood. Epigenetic mechanisms, such as DNA methylation and hydroxymethylation, mitochondrial DNA methylation, histone modifications, and non-coding RNAs (ncRNAs), play a role in regulating gene expression related to neuron plasticity and integrity, which are closely associated with learning and memory development. This review describes the impact of dynamic and reversible epigenetic modifications and factors on memory and plasticity throughout life, emphasizing their potential as target for therapeutic intervention in AD. Additionally, we present insight from postmortem and animal studies on abnormal epigenetics regulation in AD, as well as current strategies aiming at targeting these factors in the context of AD therapy.",37700216,,10.1007/s12035-023-03626-y,2,Molecular neurobiology,8900963,5.682,0.7801604270935059,0.21070234113712374,0.568561872909699,1.6466367244835283
Epigenetic regulons in Alzheimer's disease,"Alzheimer's disease is one of the most prevalent forms of dementia that occur genetically or sporadically (with increasing age) in the population of 65 years and above. The pathological hallmarks of AD include the formation of extracellular senile plaques of amyloid beta peptides 42 (AÎ²42) and intracellular neurofibrillary tangles associated with hyperphosphorylated tau protein. AD has been reported as an outcome of multiple probabilistic factors such as age, lifestyle, oxidative stress, inflammation, insulin resistance, mitochondrial dysfunction, and epigenetics. Epigenetics are heritable changes in gene expression that give a phenotype without altering the DNA sequences. Epigenetic mechanisms include DNA methylation, hydroxymethylation, histone modifications, regulation of miRNAs and long non-coding RNAs, which are reported to be dysregulated in AD. Further, epigenetic mechanisms have been shown as a key player as they regulate memory development, where DNA methylation and post-translational modifications of histone tails are the prime epigenetic markers. Also, alterations of AD-related genes cause pathogenesis on the transcriptional level. In the current chapter, we summarize the role of epigenetics in the onset and progression of AD and the use of epigenetic therapeutics to ameliorate the constraints of AD.",37225321,,10.1016/bs.pmbts.2023.01.012,0,Progress in molecular biology and translational science,101498165,4.025,0.7689067125320435,0.006688963210702341,0.34448160535117056,1.2676818201613667
