DOI,Title,year,Abstract,Semantic Scholar ID,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id,relevance_score,similarity,Cited Number,impact_factor,cited_Normalized,impact_Normalized,final_score
10.15252/embj.2021109221,Deciphering functional tumor states at single-cell resolution.,2021.0,"Within a tumor, cancer cells exist in different states that are associated with        distinct tumor functions, including proliferation, differentiation, invasion,        metastasis, and resistance to anti-cancer therapy. The identification of the gene        regulatory networks underpinning each state is essential for better understanding        functional tumor heterogeneity and revealing tumor vulnerabilities. Here, we        review the different studies identifying tumor states by single-cell sequencing        approaches and the mechanisms that promote and sustain these functional states        and regulate their transitions. We also describe how different tumor states are        spatially distributed and interact with the specific stromal cells that compose        the tumor microenvironment. Finally, we discuss how the understanding of tumor        plasticity and transition states can be used to develop new strategies to improve        cancer therapy.",9ff446d19ae6a6b60d2575a42e43ba52f3368b47,https://www.semanticscholar.org/paper/9ff446d19ae6a6b60d2575a42e43ba52f3368b47,34918370,PMC8762559,background,False,The EMBO journal,8208664,0.7897205948829651,0.03125,23,14.012,0.7454545454545455,0.8363636363636363,0.48668890573761675
10.1186/s13073-021-00894-y,Deconvolution of cell type-specific drug responses in human tumor tissue with        single-cell RNA-seq.,2020.0,"BACKGROUND: Preclinical studies require models that recapitulate the cellular        diversity of human tumors and provide insight into the drug sensitivities of        specific cellular populations. The ideal platform would enable rapid screening of        cell type-specific drug sensitivities directly in patient tumor tissue and reveal        strategies to overcome intratumoral heterogeneity. METHODS: We combine        multiplexed drug perturbation in acute slice culture from freshly resected tumors        with single-cell RNA sequencing (scRNA-seq) to profile transcriptome-wide drug        responses in individual patients. We applied this approach to drug perturbations        on slices derived from six glioblastoma (GBM) resections to identify conserved        drug responses and to one additional GBM resection to identify patient-specific        responses. RESULTS: We used scRNA-seq to demonstrate that acute slice cultures        recapitulate the cellular and molecular features of the originating tumor tissue        and the feasibility of drug screening from an individual tumor. Detailed        investigation of etoposide, a topoisomerase poison, and the histone deacetylase        (HDAC) inhibitor panobinostat in acute slice cultures revealed cell type-specific        responses across multiple patients. Etoposide has a conserved impact on        proliferating tumor cells, while panobinostat treatment affects both tumor and        non-tumor populations, including unexpected effects on the immune        microenvironment. CONCLUSIONS: Acute slice cultures recapitulate the major        cellular and molecular features of GBM at the single-cell level. In combination        with scRNA-seq, this approach enables cell type-specific analysis of sensitivity        to multiple drugs in individual tumors. We anticipate that this approach will        facilitate pre-clinical studies that identify effective therapies for solid        tumors.",9b34dcc745f7257c128d05d9453250f298514f2b,https://www.semanticscholar.org/paper/9b34dcc745f7257c128d05d9453250f298514f2b,33975634,PMC8114529,background,False,Genome medicine,101475844,0.7895584106445312,0.17142857142857143,43,15.266,0.9090909090909091,0.8545454545454545,0.5699844063102424
10.1038/s41588-021-00927-7,"Epigenetic encoding, heritability and plasticity of glioma transcriptional cell        states.",2021.0,"Single-cell RNA sequencing has revealed extensive transcriptional cell state        diversity in cancer, often observed independently of genetic heterogeneity,        raising the central question of how malignant cell states are encoded        epigenetically. To address this, here we performed multiomics single-cell        profiling-integrating DNA methylation, transcriptome and genotype within the same        cells-of diffuse gliomas, tumors characterized by defined transcriptional cell        state diversity. Direct comparison of the epigenetic profiles of distinct cell        states revealed key switches for state transitions recapitulating        neurodevelopmental trajectories and highlighted dysregulated epigenetic        mechanisms underlying gliomagenesis. We further developed a quantitative        framework to directly measure cell state heritability and transition dynamics        based on high-resolution lineage trees in human samples. We demonstrated        heritability of malignant cell states, with key differences in hierarchal and        plastic cell state architectures in IDH-mutant glioma versus IDH-wild-type        glioblastoma, respectively. This work provides a framework anchoring        transcriptional cancer cell states in their epigenetic encoding, inheritance and        transition dynamics.",1c6ebaa3861714f6a8cbfe4662cfa9b10cce88cb,https://www.semanticscholar.org/paper/1c6ebaa3861714f6a8cbfe4662cfa9b10cce88cb,34594037,PMC8675181,,False,Nature genetics,9216904,0.6843695044517517,0.10084033613445378,97,41.307,1.0,0.9636363636363636,0.5401924403347615
10.1038/s41467-024-48053-2,Pervasive structural heterogeneity rewires glioblastoma chromosomes to sustain        patient-specific transcriptional programs.,2024.0,"Glioblastoma multiforme (GBM) encompasses brain malignancies marked by phenotypic        and transcriptional heterogeneity thought to render these tumors aggressive,        resistant to therapy, and inevitably recurrent. However, little is known about        how the spatial organization of GBM genomes underlies this heterogeneity and its        effects. Here, we compile a cohort of 28 patient-derived glioblastoma stem        cell-like lines (GSCs) known to reflect the properties of their tumor-of-origin;        six of these were primary-relapse tumor pairs from the same patient. We generate        and analyze 5 kbp-resolution chromosome conformation capture (Hi-C) data from all        GSCs to systematically map thousands of standalone and complex structural        variants (SVs) and the multitude of neoloops arising as a result. By combining        Hi-C, histone modification, and gene expression data with chromatin folding        simulations, we explain how the pervasive, uneven, and idiosyncratic occurrence        of neoloops sustains tumor-specific transcriptional programs via the formation of        new enhancer-promoter contacts. We also show how even moderately recurrent        neoloops can relate to patient-specific vulnerabilities. Together, our data        provide a resource for dissecting GBM biology and heterogeneity, as well as for        informing therapeutic approaches.",8b9e66879f8bb708a09e6489ca7ee4cde6db433c,https://www.semanticscholar.org/paper/8b9e66879f8bb708a09e6489ca7ee4cde6db433c,38724522,PMC11082206,,False,Nature communications,101528555,0.6634509563446045,0.05,0,17.694,0.0,0.8727272727272727,0.34994437781247223
10.3389/fonc.2022.995498,Exploring glioblastoma stem cell heterogeneity: Immune microenvironment        modulation and therapeutic opportunities.,2022.0,"Despite its growing use in cancer treatment, immunotherapy has been virtually        ineffective in clinical trials for gliomas. The inherently cold tumor immune        microenvironment (TIME) in gliomas, characterized by a high ratio of pro-tumor to        anti-tumor immune cell infiltrates, acts as a seemingly insurmountable barrier to        immunotherapy. Glioma stem cells (GSCs) within these tumors are key contributors        to this cold TIME, often functioning indirectly through activation and        recruitment of pro-tumor immune cell types. Furthermore, drivers of GSC        plasticity and heterogeneity (e.g., reprogramming transcription factors,        epigenetic modifications) are associated with induction of immunosuppressive cell        states. Recent studies have identified GSC-intrinsic mechanisms, including        functional mimicry of immune suppressive cell types, as key determinants of        anti-tumor immune escape. In this review, we cover recent advancements in our        understanding of GSC-intrinsic mechanisms that modulate GSC-TIME interactions and        discuss cutting-edge techniques and bioinformatics platforms available to study        immune modulation at high cellular resolution with exploration of both malignant        (i.e., GSC) and non-malignant (i.e., immune) cell fractions. Finally, we provide        insight into the therapeutic opportunities for targeting immunomodulatory        GSC-intrinsic mechanisms to potentiate immunotherapy response in gliomas.",1e541f2945fce225395f90e23a00232e4b8369cd,https://www.semanticscholar.org/paper/1e541f2945fce225395f90e23a00232e4b8369cd,36212415,PMC9532940,background,False,Frontiers in oncology,101568867,0.61555016040802,0.020491803278688523,7,5.738,0.45454545454545453,0.21818181818181817,0.2937708603429723
10.3390/cancers12061622,Cellular Plasticity and Tumor Microenvironment in Gliomas: The Struggle to Hit a        Moving Target.,2020.0,"Brain tumors encompass a diverse group of neoplasias arising from different cell        lineages. Tumors of glial origin have been the subject of intense research        because of their rapid and fatal progression. From a clinical point of view,        complete surgical resection of gliomas is highly difficult. Moreover, the        remaining tumor cells are resistant to traditional therapies such as radio- or        chemotherapy and tumors always recur. Here we have revised the new genetic and        epigenetic classification of gliomas and the description of the different        transcriptional subtypes. In order to understand the progression of the different        gliomas we have focused on the interaction of the plastic tumor cells with their        vasculature-rich microenvironment and with their distinct immune system. We        believe that a comprehensive characterization of the glioma microenvironment will        shed some light into why these tumors behave differently from other cancers.        Furthermore, a novel classification of gliomas that could integrate the genetic        background and the cellular ecosystems could have profound implications in the        efficiency of current therapies as well as in the development of new treatments.",1a030b0afce4ceccc46a8ade4b756934ffb78cec,https://www.semanticscholar.org/paper/1a030b0afce4ceccc46a8ade4b756934ffb78cec,32570988,PMC7352204,background,False,Cancers,101526829,0.601359486579895,0.029585798816568046,32,6.575,0.8,0.43636363636363634,0.3776967109551411
10.3390/cancers13164004,The Renin-Angiotensin System in the Tumor Microenvironment of Glioblastoma.,2021.0,"Glioblastoma (GB) is an aggressive primary brain tumor. Despite intensive        research over the past 50 years, little advance has been made to improve the poor        outcome, with an overall median survival of 14.6 months following standard        treatment. Local recurrence is inevitable due to the quiescent cancer stem cells        (CSCs) in GB that co-express stemness-associated markers and components of the        renin-angiotensin system (RAS). The dynamic and heterogeneous tumor        microenvironment (TME) plays a fundamental role in tumor development,        progression, invasiveness, and therapy resistance. There is increasing evidence        showing the critical role of the RAS in the TME influencing CSCs via its upstream        and downstream pathways. Drugs that alter the hallmarks of cancer by modulating        the RAS present a potential new therapeutic alternative or adjunct to        conventional treatment of GB. Cerebral and GB organoids may offer a        cost-effective method for evaluating the efficacy of RAS-modulating drugs on GB.        We review the nexus between the GB TME, CSC niche, and the RAS, and propose        re-purposed RAS-modulating drugs as a potential therapeutic alternative or        adjunct to current standard therapy for GB.",2c6b6afed3e6caf29d798a8d50872c3b518d747e,https://www.semanticscholar.org/paper/2c6b6afed3e6caf29d798a8d50872c3b518d747e,34439159,PMC8392691,,False,Cancers,101526829,0.5660185217857361,0.0111731843575419,11,6.575,0.5454545454545454,0.45454545454545453,0.32427483027873755
10.1186/s12935-020-01571-7,Aging-related tumor associated fibroblasts changes could worsen the prognosis of        GBM patients.,2020.0,"BACKGROUND: Glioblastoma multiforme (GBM) is the most malignant tumor in human        brain, with highly heterogeneity among different patients. Age could function as        an incidence and prognosis risk factor for many tumors. METHOD: A series of        bioinformatic experiments were conducted to evaluate the differences of        incidence, differential expressed genes, enriched pathways with the data from        Surveillance, Epidemiology, and End Results (SEER) program, the cancer genome        atlas (TCGA) and Chinese glioma genome atlas (CGGA) project. RESULTS: We        discovered in our present study that distinct difference of incidence and        prognosis of different aged GBM patients. By a series of bioinformatic method, we        found that the tumor associated fibroblasts (TAFs) was the most crucial tumor        microenvironment (TME) component that led to this phenomenon.        Epithelial-mesenchymal transition (EMT) could be the mechanism by which TAFs        regulate the progression of GBM. CONCLUSION: We have proposed a close correlation        between age and GBM incidence and prognosis, and propose the underlying mechanism        behind this correlation by mining different databases, which laid the foundation        for future research.",8abcded153d72a00438501bcaf82b73e484a04a5,https://www.semanticscholar.org/paper/8abcded153d72a00438501bcaf82b73e484a04a5,33061843,PMC7545944,,False,Cancer cell international,101139795,0.5540482401847839,0.034482758620689655,4,6.429,0.32727272727272727,0.38181818181818183,0.2863712118673474
10.1093/neuonc/noab269,Cancer cell heterogeneity and plasticity: A paradigm shift in glioblastoma.,2021.0,"Phenotypic plasticity has emerged as a major contributor to intra-tumoral        heterogeneity and treatment resistance in cancer. Increasing evidence shows that        glioblastoma (GBM) cells display prominent intrinsic plasticity and reversibly        adapt to dynamic microenvironmental conditions. Limited genetic evolution at        recurrence further suggests that resistance mechanisms also largely operate at        the phenotypic level. Here we review recent literature underpinning the role of        GBM plasticity in creating gradients of heterogeneous cells including those that        carry cancer stem cell (CSC) properties. A historical perspective from the        hierarchical to the nonhierarchical concept of CSCs towards the recent        appreciation of GBM plasticity is provided. Cellular states interact dynamically        with each other and with the surrounding brain to shape a flexible tumor        ecosystem, which enables swift adaptation to external pressure including        treatment. We present the key components regulating intra-tumoral phenotypic        heterogeneity and the equilibrium of phenotypic states, including genetic,        epigenetic, and microenvironmental factors. We further discuss plasticity in the        context of intrinsic tumor resistance, where a variable balance between        preexisting resistant cells and adaptive persisters leads to reversible        adaptation upon treatment. Innovative efforts targeting regulators of plasticity        and mechanisms of state transitions towards treatment-resistant states are needed        to restrict the adaptive capacities of GBM.",21ee097eeed4010c96139756e6f3bc137cf3227e,https://www.semanticscholar.org/paper/21ee097eeed4010c96139756e6f3bc137cf3227e,34932099,PMC9071273,,False,Neuro-oncology,100887420,0.5533846020698547,0.06493506493506493,36,13.029,0.8363636363636363,0.7818181818181819,0.4347166793222551
10.4252/wjsc.v13.i7.877,Role and mechanism of neural stem cells of the subventricular zone in        glioblastoma.,2021.0,"Glioblastoma multiforme (GBM), the most frequently occurring malignant brain        tumor in adults, remains mostly untreatable. Because of the heterogeneity of        invasive gliomas and drug resistance associated with the tumor microenvironment,        the prognosis is poor, and the survival rate of patients is low. Communication        between GBMs and non-glioma cells in the tumor microenvironment plays a vital        role in tumor growth and recurrence. Emerging data have suggested that neural        stem cells (NSCs) in the subventricular zone (SVZ) are the cells-of-origin of        gliomas, and SVZ NSC involvement is associated with the progression and        recurrence of GBM. This review highlights the interaction between SVZ NSCs and        gliomas, summarizes current findings on the crosstalk between gliomas and other        non-glioma cells, and describes the links between SVZ NSCs and gliomas. We also        discuss the role and mechanism of SVZ NSCs in glioblastoma, as well as the        interventions targeting the SVZ and their therapeutic implications in        glioblastoma. Taken together, understanding the biological mechanism of        glioma-NSC interactions can lead to new therapeutic strategies for GBM.",34e6f9c32dd937ab1fd9def3eeed8329070f7714,https://www.semanticscholar.org/paper/34e6f9c32dd937ab1fd9def3eeed8329070f7714,34367482,PMC8316865,,False,World journal of stem cells,101535826,0.5253840088844299,0.0,21,5.247,0.7272727272727273,0.16363636363636364,0.2912515663016926
