arxivId,Title,Year,Semantic Scholar ID,URL
,Single-cell mapping of lineage and identity in direct reprogramming,2018,fad0730b41e02cff917f93586bcc2fc2dbba8fb3,https://www.semanticscholar.org/paper/fad0730b41e02cff917f93586bcc2fc2dbba8fb3
,Cardiomyocyte Maturation Requires TLR3 Activated Nuclear Factor Kappa B,2018,92c3b199284eaf1ef92965e5e49a289f663afb11,https://www.semanticscholar.org/paper/92c3b199284eaf1ef92965e5e49a289f663afb11
,RNA velocity of single cells,2018,b6116e1d2c16e435b1b236c2e6ff0735551f91de,https://www.semanticscholar.org/paper/b6116e1d2c16e435b1b236c2e6ff0735551f91de
,S-phase Synchronization Facilitates the Early Progression of Induced-Cardiomyocyte Reprogramming through Enhanced Cell-Cycle Exit,2018,6ade4db3d943653a3680a2df7fe56b8d6b517e8f,https://www.semanticscholar.org/paper/6ade4db3d943653a3680a2df7fe56b8d6b517e8f
,The promise of spatial transcriptomics for neuroscience in the era of molecular cell typing,2017,359c7cfa4f00ed2752e0f1e7f7ac23587dc0c33f,https://www.semanticscholar.org/paper/359c7cfa4f00ed2752e0f1e7f7ac23587dc0c33f
,Single-cell transcriptomics to explore the immune system in health and disease,2017,271bd73ebed27650505123380f821d57ce510f52,https://www.semanticscholar.org/paper/271bd73ebed27650505123380f821d57ce510f52
,Single Cell Transcriptomics Reconstructs Fate Conversion from Fibroblast to Cardiomyocyte,2017,dc46b2129823928bbd264d4b1f97d749ad4553fb,https://www.semanticscholar.org/paper/dc46b2129823928bbd264d4b1f97d749ad4553fb
,Genome-Wide Temporal Profiling of Transcriptome and Open Chromatin of Early Cardiomyocyte Differentiation Derived From hiPSCs and hESCs,2017,3b4ef84711159c389e2875e0d415f6cbeb7e3cdb,https://www.semanticscholar.org/paper/3b4ef84711159c389e2875e0d415f6cbeb7e3cdb
,Ryanodine receptors are part of the myospryn complex in cardiac muscle,2017,fb0c8ba92985d0934227ce460dc4c2bec4e1a9f8,https://www.semanticscholar.org/paper/fb0c8ba92985d0934227ce460dc4c2bec4e1a9f8
,Reconstructing cell cycle pseudo time-series via single-cell transcriptome data,2017,a878c9dc6db4eb311c2ff3eb154c931352f4a4df,https://www.semanticscholar.org/paper/a878c9dc6db4eb311c2ff3eb154c931352f4a4df
