Title,Abstract,PMID,PMCID,DOI,Cited Number
Neuroimmune Crosstalk through Extracellular Vesicles in Health and Disease,"The dynamics of CNS function rely upon omnidirectional communication among CNS cell types. Extracellular vesicles (EVs) have emerged as key mediators of this communication and are actively involved in response to CNS injury, mediating inflammatory response and inflammation-related neuroprotection as they display dual beneficial and detrimental roles. Neuroimmune interactions include communication between neurons and microglia, the resident macrophages within the CNS, and these interactions are a critical mediator of healthy brain functions, mounting an inflammatory response, and disease pathogenesis. This review aims to organize recent research highlighting the role of EVs in health and neurodegenerative disorders, with a specific focus on neuroimmune interactions between neurons and glia in Alzheimer's disease.",30926143,PMC6486849,10.1016/j.tins.2019.02.007,89
"Alzheimer's Disease: A Journey from Amyloid Peptides and Oxidative Stress, to Biomarker Technologies and Disease Prevention Strategies-Gains from AIBL and DIAN Cohort Studies","Worldwide there are over 46 million people living with dementia, and this number is expected to double every 20 years reaching about 131 million by 2050. The cost to the community and government health systems, as well as the stress on families and carers is incalculable. Over three decades of research into this disease have been undertaken by several research groups in Australia, including work by our original research group in Western Australia which was involved in the discovery and sequencing of the amyloid-β peptide (also known as Aβ or A4 peptide) extracted from cerebral amyloid plaques. This review discusses the journey from the discovery of the Aβ peptide in Alzheimer's disease (AD) brain to the establishment of pre-clinical AD using PET amyloid tracers, a method now serving as the gold standard for developing peripheral diagnostic approaches in the blood and the eye. The latter developments for early diagnosis have been largely achieved through the establishment of the Australian Imaging Biomarker and Lifestyle research group that has followed 1,100 Australians for 11 years. AIBL has also been instrumental in providing insight into the role of the major genetic risk factor apolipoprotein E ɛ4, as well as better understanding the role of lifestyle factors particularly diet, physical activity and sleep to cognitive decline and the accumulation of cerebral Aβ.",29562546,PMC5870031,10.3233/JAD-171145,43
Translating endoplasmic reticulum biology into the clinic: a role for ER-targeted natural products?,"ER stress has been identified as a hallmark, and sometimes trigger, of several pathologies, notably cancer, inflammation and neurodegenerative diseases like Alzheimer's and Parkinson's. Among the molecules described in literature known to affect ER function, the majority are natural products, suggesting that natural molecules may constitute a significant arsenal of chemical entities for modulating this cellular target. In this review, we will start by presenting the current knowledge of ER biology and the hallmarks of ER stress, thus paving the way for presenting the natural products that have been described as being ER modulators, either stress inducers or ER protectors. The chemistry, distribution and mechanism of action of these compounds will be presented and discussed.",25703279,,10.1039/c4np00102h,17
Structure of amyloid oligomers and their mechanisms of toxicities: Targeting amyloid oligomers using novel therapeutic approaches,"Protein misfolding is one of the leading causes of amyloidoses. Protein misfolding occurs from changes in environmental conditions and host of other factors, including errors in post-translational modifications, increase in the rate of degradation, error in trafficking, loss of binding partners and oxidative damage. Misfolding gives rise to the formation of partially unfolded or misfolded intermediates, which have exposed hydrophobic residues and interact with complementary intermediates to form oligomers and consequently protofibrils and fibrils. The amyloid fibrils accumulate as amyloid deposits in the brain and central nervous system in Alzheimer's disease (AD), Prion disease and Parkinson's disease (PD). Initial studies have shown that amyloid fibrils were the main culprit behind toxicity that cause neurodegenerative diseases. However, attention shifted to the cytotoxicity of amyloid fibril precursors, notably amyloid oligomers, which are the major cause of toxicity. The mechanism of toxicity triggered by amyloid oligomers remains elusive. In this review, we have focused on the current knowledge of the structures of different aggregated states, including amyloid fibril, protofibrils, annular aggregates and oligomers. Based on the studies on the mechanism of toxicities, we hypothesize two major possible mechanisms of toxicities instigated by oligomers of Aβ (amyloid beta), PrP (prion protein) (106-126), and α-Syn (alpha-synuclein) including direct formation of ion channels and neuron membrane disruption by the increase in membrane conductance or leakage in the presence of small globulomers to large prefibrillar assemblies. Finally, we have discussed various novel innovative approaches that target amyloid oligomers in Alzheimer's diseases, Prion disease and Parkinson's disease.",26974374,,10.1016/j.ejmech.2016.02.065,23
Associations Between Plasma Orexin-A Level and Constipation in Cognitive Impairment,"Background:Constipation is a common symptom in dementia, and the cause is controversial. Rare clinical studies focused on plasma orexin-A levels and constipation in dementia.Objective:To evaluate the associations between orexin-A and constipation in patients with cognitive impairment.Methods:A total of 21 patients with mild cognitive impairment (MCI), 142 with Alzheimer's disease (AD), and 57 with Lewy body dementia (LBD) were conducted. Besides informant-based history, neurological examinations or neuropsychological assessments, plasma levels of orexin-A, and constipation were assessed. The associations between orexin-A and constipation were evaluated by logistic regression models.Results:There were 47/220 (21.36%) cognitive impairment patients having constipation, and the proportion of constipation in LBD (61.40%) was significantly higher than AD (5.63%) and MCI (19.05%). No significant age or sex differences in the prevalence of constipation were found in the MCI, AD, and LBD groups. We found the cognitive impairment patients with constipation had lower levels of plasma orexin-A [1.00 (0.86, 1.28) versus 1.29 (1.01, 1.50) ng/ml, p < 0.001] than those without. And the plasma levels of orexin-A were significantly associated with the occurrence of constipation after adjusting for all variables in all patients with cognitive impairment (OR = 0.151, 95% CI: 0.042-0.537, p = 0.003). And the same finding was more prominent in the LBD group (p = 0.048).Conclusions:The decrease of plasma level of orexin-A is closely associated with the occurrence of constipation. Orexin-A has an intestinal protective effect and is involved in the gastrointestinal symptoms of patients with cognitive impairment.",38143347,,10.3233/JAD-230625,0
Extracellular vesicles - propagators of neuropathology and sources of potential biomarkers and therapeutics for neurodegenerative diseases,"Neurodegenerative diseases are characterised by the irreversible degeneration of neurons in the central or peripheral nervous systems. These include amyotrophic lateral sclerosis (ALS), Alzheimer's disease (AD), Parkinson's disease (PD) and prion diseases. Small extracellular vesicles (sEVs), a type of EV involved in cellular communication, have been well documented as propagating neurodegenerative diseases. These sEVs carry cargo, such as proteins and RNA, to recipient cells but are also capable of promoting protein misfolding, thus actively contributing to the progression of these diseases. sEV secretion is also a compensatory process for lysosomal dysfunction in the affected cells, despite inadvertently propagating disease to recipient cells. Despite this, sEV miRNAs have biomarker potential for the early diagnosis of these diseases, while stem cell-derived sEVs and those generated through exogenous assistance demonstrate the greatest therapeutic potential. This Review will highlight novel advancements in the involvement of sEVs as propagators of neuropathology, biomarkers and potential therapeutics in neurodegenerative diseases.",33310868,,10.1242/jcs.243139,26
Towards Defining the Neuroanatomical Basis of Late-Onset Psychiatric Symptoms,"Psychiatric symptoms, including changes in emotional processing, are a common feature of many neurodegenerative disorders, such as Alzheimer's disease, dementia with Lewy Bodies, frontotemporal dementia, and Huntington's disease. However, the neuroanatomical basis of emotional symptoms is not well defined; this stands in contrast to the relatively well-understood neuroanatomical correlates of cognitive and motor symptoms in neurodegenerative disorders. Furthermore, psychiatric diagnostic categories, as defined by the Diagnostic and Statistical Manual of Mental Disorders (DSM) and International Statistical Classification of Diseases and Related Health Problems (ICD), may have limited applicability in patients with late-onset psychiatric symptoms in the context of neurodegenerative disorders. In this clinical review, we suggest that early-onset and late-onset psychiatric symptoms have distinct etiologies, and that late-onset changes in emotional processing are likely underpinned by neurodegenerative disease. Furthermore, we suggest that an improved understanding of the neuroanatomical correlates of emotional changes in neurodegenerative disease may facilitate diagnosis and future treatment development. Finally, we propose a novel clinical approach, in a preliminary attempt to incorporate late-onset emotional symptoms alongside cognitive and motor symptoms into a clinical ""algorithm,"" with a focus on the neuroanatomy implicated when particular combinations of emotional, cognitive, and motor features are present. We anticipate that this clinical approach will assist with the diagnosis of neurodegenerative disorders, and our proposed schema represents a move towards integrating neurologic and psychiatric classification systems.",35380884,,10.1177/08919887221090213,2
Charting the Next Road Map for CSF Biomarkers in Alzheimer's Disease and Related Dementias,"Clinical prediction of underlying pathologic substrates in people with Alzheimer's disease (AD) dementia or related dementia syndromes (ADRD) has limited accuracy. Etiologic biomarkers - including cerebrospinal fluid (CSF) levels of AD proteins and cerebral amyloid PET imaging - have greatly modernized disease-modifying clinical trials in AD, but their integration into medical practice has been slow. Beyond core CSF AD biomarkers (including beta-amyloid 1-42, total tau, and tau phosphorylated at threonine 181), novel biomarkers have been interrogated in single- and multi-centered studies with uneven rigor. Here, we review early expectations for ideal AD/ADRD biomarkers, assess these goals' future applicability, and propose study designs and performance thresholds for meeting these ideals with a focus on CSF biomarkers. We further propose three new characteristics: equity (oversampling of diverse populations in the design and testing of biomarkers), access (reasonable availability to 80% of people at risk for disease, along with pre- and post-biomarker processes), and reliability (thorough evaluation of pre-analytical and analytical factors influencing measurements and performance). Finally, we urge biomarker scientists to balance the desire and evidence for a biomarker to reflect its namesake function, indulge data- as well as theory-driven associations, re-visit the subset of rigorously measured CSF biomarkers in large datasets (such as Alzheimer's disease neuroimaging initiative), and resist the temptation to favor ease over fail-safe in the development phase. This shift from discovery to application, and from suspended disbelief to cogent ingenuity, should allow the AD/ADRD biomarker field to live up to its billing during the next phase of neurodegenerative disease research.",37378862,,10.1007/s13311-023-01370-8,3
Chronic Sleep Disturbances Alters Sleep Structure and Tau Phosphorylation in AβPP/PS1 AD Mice and Their Wild-Type Littermates,"Background:Emerging evidence indicates that sleep disorders are the common non-cognitive symptoms of Alzheimer's disease (AD), and they may contribute to the pathogenesis of this disease.Objective:In this study, we aim to investigate the effect of chronic sleep deprivation (CSD) on AD-related pathologies with a focus on tau phosphorylation and the underlying DNA methylation regulation.Methods:AβPPswe/PS1ΔE9 AD mice and their wild-type (WT) littermates were subjected to a two-month CSD followed by electroencephalography and electromyography recording. The mice were examined for learning and memory evaluation, then pathological, biochemical, and epigenetic assessments including western blotting, immunofluorescence, dot blotting, and bisulfite sequencing.Results:The results show that CSD caused sleep disturbances shown as sleep pattern change, poor sleep maintenance, and increased sleep fragmentation. CSD increased tau phosphorylation at different sites and increased the level of tau kinases in AD and WT mice. The increased expression of cyclin-dependent kinase 5 (CDK5) may result from decreased DNA methylation of CpG sites in the promoter region of CDK5 gene, which might be associated with the downregulation of DNA methyltransferase 3A and 3B.Conclusion:CSD altered AD-related tau phosphorylation through epigenetic modification of tau kinase gene. The findings in this study may give insights into the mechanisms underlying the effects of sleep disturbances on AD pathology and provide new therapeutic targets for the treatment of this disease.",37038814,,10.3233/JAD-221048,2
Bezafibrate confers neuroprotection in the 5xFAD mouse model of Alzheimer's disease,"Mitochondrial dysfunction plays an important role in the pathogenesis of Alzheimer's disease (AD), the most common neurodegenerative disease. Prior studies suggested impaired mitochondrial biogenesis likely contributes to mitochondrial dysfunction in AD. Bezafibrate, a peroxisome proliferator-activated receptor (PPAR) pan-agonist, has been shown to enhance mitochondrial biogenesis and increase oxidative phosphorylation capacity. In the present study, we investigated whether bezafibrate could rescue mitochondrial dysfunction and other AD-related deficits in 5xFAD mice. Bezafibrate was well tolerated by 5xFAD mice. Indeed, it rescued the expression of key mitochondrial proteins as well as mitochondrial dynamics and function in the brain of 5xFAD mice. Importantly, bezafibrate treatment led to significant improvement of cognitive/memory function in 5xFAD mice accompanied by alleviation of amyloid pathology and neuronal loss as well as reduced oxidative stress and neuroinflammation. Overall, this study suggests that bezafibrate improves mitochondrial function, mitigates neuroinflammation and improves cognitive functions in 5xFAD mice, thus supporting the notion that enhancing mitochondrial biogenesis/function is a promising therapeutic strategy for AD.",37558011,,10.1016/j.bbadis.2023.166841,0
