Title,Abstract,PMID,PMCID,DOI,Cited Number
ARAMIS: From systematic errors of NGS long reads to accurate assemblies,"NGS long-reads sequencing technologies (or third generation) such as Pacific BioSciences (PacBio) have revolutionized the sequencing field over the last decade improving multiple genomic applications like de novo genome assemblies. However, their error rate, mostly involving insertions and deletions (indels), is currently an important concern that requires special attention to be solved. Multiple algorithms are available to fix these sequencing errors using short reads (such as Illumina), although they require long processing times and some errors may persist. Here, we present Accurate long-Reads Assembly correction Method for Indel errorS (ARAMIS), the first NGS long-reads indels correction pipeline that combines several correction software in just one step using accurate short reads. As a proof OF concept, six organisms were selected based on their different GC content, size and genome complexity, and their PacBio-assembled genomes were corrected thoroughly by this pipeline. We found that the presence of systematic sequencing errors in long-reads PacBio sequences affecting homopolymeric regions, and that the type of indel error introduced during PacBio sequencing are related to the GC content of the organism. The lack of knowledge of this fact leads to the existence of numerous published studies where such errors have been found and should be resolved since they may contain incorrect biological information. ARAMIS yields better results with less computational resources needed than other correction tools and gives the possibility of detecting the nature of the found indel errors found and its distribution along the genome. The source code of ARAMIS is available at https://github.com/genomics-ngsCBMSO/ARAMIS.git.",34013348,PMC8574707,10.1093/bib/bbab170,6
"Comparison of Illumina and Oxford Nanopore Technology for genome analysis of Francisella tularensis, Bacillus anthracis, and Brucella suis","Background:Bacterial epidemiology needs to understand the spread and dissemination of strains in a One Health context. This is important for highly pathogenic bacteria such as Bacillus anthracis, Brucella species, and Francisella tularensis. Whole genome sequencing (WGS) has paved the way for genetic marker detection and high-resolution genotyping. While such tasks are established for Illumina short-read sequencing, Oxford Nanopore Technology (ONT) long-read sequencing has yet to be evaluated for such highly pathogenic bacteria with little genomic variations between strains. In this study, three independent sequencing runs were performed using Illumina, ONT flow cell version 9.4.1, and 10.4 for six strains of each of Ba. anthracis, Br. suis and F. tularensis. Data from ONT sequencing alone, Illumina sequencing alone and two hybrid assembly approaches were compared.Results:As previously shown, ONT produces ultra-long reads, while Illumina produces short reads with higher sequencing accuracy. Flow cell version 10.4 improved sequencing accuracy over version 9.4.1. The correct (sub-)species were inferred from all tested technologies, individually. Moreover, the sets of genetic markers for virulence, were almost identical for the respective species. The long reads of ONT allowed to assemble not only chromosomes of all species to near closure, but also virulence plasmids of Ba. anthracis. Assemblies based on nanopore data alone, Illumina data alone, and both hybrid assemblies correctly detected canonical (sub-)clades for Ba. anthracis and F. tularensis as well as multilocus sequence types for Br. suis. For F. tularensis, high-resolution genotyping using core-genome MLST (cgMLST) and core-genome Single-Nucleotide-Polymorphism (cgSNP) typing produced highly comparable results between data from Illumina and both ONT flow cell versions. For Ba. anthracis, only data from flow cell version 10.4 produced similar results to Illumina for both high-resolution typing methods. However, for Br. suis, high-resolution genotyping yielded larger differences comparing Illumina data to data from both ONT flow cell versions.Conclusions:In summary, combining data from ONT and Illumina for high-resolution genotyping might be feasible for F. tularensis and Ba. anthracis, but not yet for Br. suis. The ongoing improvement of nanopore technology and subsequent data analysis may facilitate high-resolution genotyping for all bacteria with highly stable genomes in future.",37173617,PMC10182678,10.1186/s12864-023-09343-z,4
"Challenges facing repeat expansion identification, characterisation, and the pathway to discovery","Tandem repeat DNA sequences constitute a significant proportion of the human genome. While previously considered to be functionally inert, these sequences are now broadly accepted as important contributors to genetic diversity. However, the polymorphic nature of these sequences can lead to expansion beyond a gene-specific threshold, causing disease. More than 50 pathogenic repeat expansions have been identified to date, many of which have been discovered in the last decade as a result of advances in sequencing technologies and associated bioinformatic tools. Commonly utilised diagnostic platforms including Sanger sequencing, capillary array electrophoresis, and Southern blot are generally low throughput and are often unable to accurately determine repeat size, composition, and epigenetic signature, which are important when characterising repeat expansions. The rapid advances in bioinformatic tools designed specifically to interrogate short-read sequencing and the development of long-read single molecule sequencing is enabling a new generation of high throughput testing for repeat expansion disorders. In this review, we discuss some of the challenges surrounding the identification and characterisation of disease-causing repeat expansions and the technological advances that are poised to translate the promise of genomic medicine to individuals and families affected by these disorders.",37888797,PMC10754332,10.1042/ETLS20230019,1
A recurrence-based approach for validating structural variation using long-read sequencing technology,"Although numerous algorithms have been developed to identify structural variations (SVs) in genomic sequences, there is a dearth of approaches that can be used to evaluate their results. This is significant as the accurate identification of structural variation is still an outstanding but important problem in genomics. The emergence of new sequencing technologies that generate longer sequence reads can, in theory, provide direct evidence for all types of SVs regardless of the length of the region through which it spans. However, current efforts to use these data in this manner require the use of large computational resources to assemble these sequences as well as visual inspection of each region. Here we present VaPoR, a highly efficient algorithm that autonomously validates large SV sets using long-read sequencing data. We assessed the performance of VaPoR on SVs in both simulated and real genomes and report a high-fidelity rate for overall accuracy across different levels of sequence depths. We show that VaPoR can interrogate a much larger range of SVs while still matching existing methods in terms of false positive validations and providing additional features considering breakpoint precision and predicted genotype. We further show that VaPoR can run quickly and efficiency without requiring a large processing or assembly pipeline. VaPoR provides a long read-based validation approach for genomic SVs that requires relatively low read depth and computing resources and thus will provide utility with targeted or low-pass sequencing coverage for accurate SV assessment. The VaPoR Software is available at: https://github.com/mills-lab/vapor.",28873962,PMC5737365,10.1093/gigascience/gix061,16
A survey on computational strategies for genome-resolved gut metagenomics,"Recovering high-quality metagenome-assembled genomes (HQ-MAGs) is critical for exploring microbial compositions and microbe-phenotype associations. However, multiple sequencing platforms and computational tools for this purpose may confuse researchers and thus call for extensive evaluation. Here, we systematically evaluated a total of 40 combinations of popular computational tools and sequencing platforms (i.e. strategies), involving eight assemblers, eight metagenomic binners and four sequencing technologies, including short-, long-read and metaHiC sequencing. We identified the best tools for the individual tasks (e.g. the assembly and binning) and combinations (e.g. generating more HQ-MAGs) depending on the availability of the sequencing data. We found that the combination of the hybrid assemblies and metaHiC-based binning performed best, followed by the hybrid and long-read assemblies. More importantly, both long-read and metaHiC sequencings link more mobile elements and antibiotic resistance genes to bacterial hosts and improve the quality of public human gut reference genomes with 32% (34/105) HQ-MAGs that were either of better quality than those in the Unified Human Gastrointestinal Genome catalog version 2 or novel.",37114640,,10.1093/bib/bbad162,3
Approaches to Whole Mitochondrial Genome Sequencing on the Oxford Nanopore MinION,"Traditional approaches for interrogating the mitochondrial genome often involve laborious extraction and enrichment protocols followed by Sanger sequencing. Although preparation techniques are still demanding, the advent of next-generation or massively parallel sequencing has made it possible to routinely obtain nucleotide-level data with relative ease. These short-read sequencing platforms offer deep coverage with unparalleled read accuracy in high-complexity genomic regions but encounter numerous difficulties in the low-complexity homopolymeric sequences characteristic of the mitochondrial genome. The inability to discern identical units within monomeric repeats and resolve copy-number variations for heteroplasmy detection results in suboptimal genome assemblies that ultimately complicate downstream data analysis and interpretation of biological significance. Oxford Nanopore Technologies offers the ability to generate long-read sequencing data on a pocket-sized device known as the MinION. Nanopore-based sequencing is scalable, portable, and theoretically capable of sequencing the entire mitochondrial genome in a single contig. Furthermore, the recent development of a nanopore protein with dual reader heads allows for clear identification of nucleotides within homopolymeric stretches, significantly increasing resolution throughout these regions. The unrestricted read lengths, superior homopolymeric resolution, and affordability of the MinION device make it an attractive alternative to the labor-intensive, time-consuming, and costly mainstay deep-sequencing platforms. This article describes three approaches to extract, prepare, and sequence mitochondrial DNA on the Oxford Nanopore MinION device. Two of the workflows include enrichment of mitochondrial DNA prior to sequencing, whereas the other relies on direct sequencing of native genomic DNA to allow for simultaneous assessment of the nuclear and mitochondrial genomes. © 2019 by John Wiley & Sons, Inc. Basic Protocol: Enrichment-free mitochondrial DNA sequencing Alternate Protocol 1: Mitochondrial DNA sequencing following enrichment with polymerase chain reaction (PCR) Alternate Protocol 2: Mitochondrial DNA sequencing following enrichment with PCR-free hybridization capture Support Protocol 1: DNA quantification and quality assessment using the Agilent 4200 TapeStation System Support Protocol 2: AMPure XP bead clean-up Support Protocol 3: Suggested data analysis pipeline.",31743587,,10.1002/cphg.94,9
Benchmarking second and third-generation sequencing platforms for microbial metagenomics,"Shotgun metagenomic sequencing is a common approach for studying the taxonomic diversity and metabolic potential of complex microbial communities. Current methods primarily use second generation short read sequencing, yet advances in third generation long read technologies provide opportunities to overcome some of the limitations of short read sequencing. Here, we compared seven platforms, encompassing second generation sequencers (Illumina HiSeq 300, MGI DNBSEQ-G400 and DNBSEQ-T7, ThermoFisher Ion GeneStudio S5 and Ion Proton P1) and third generation sequencers (Oxford Nanopore Technologies MinION R9 and Pacific Biosciences Sequel II). We constructed three uneven synthetic microbial communities composed of up to 87 genomic microbial strains DNAs per mock, spanning 29 bacterial and archaeal phyla, and representing the most complex and diverse synthetic communities used for sequencing technology comparisons. Our results demonstrate that third generation sequencing have advantages over second generation platforms in analyzing complex microbial communities, but require careful sequencing library preparation for optimal quantitative metagenomic analysis. Our sequencing data also provides a valuable resource for testing and benchmarking bioinformatics software for metagenomics.",36369227,PMC9652401,10.1038/s41597-022-01762-z,13
Sensitive alignment using paralogous sequence variants improves long-read mapping and variant calling in segmental duplications,"The ability to characterize repetitive regions of the human genome is limited by the read lengths of short-read sequencing technologies. Although long-read sequencing technologies such as Pacific Biosciences (PacBio) and Oxford Nanopore Technologies can potentially overcome this limitation, long segmental duplications with high sequence identity pose challenges for long-read mapping. We describe a probabilistic method, DuploMap, designed to improve the accuracy of long-read mapping in segmental duplications. It analyzes reads mapped to segmental duplications using existing long-read aligners and leverages paralogous sequence variants (PSVs)-sequence differences between paralogous sequences-to distinguish between multiple alignment locations. On simulated datasets, DuploMap increased the percentage of correctly mapped reads with high confidence for multiple long-read aligners including Minimap2 (74.3-90.6%) and BLASR (82.9-90.7%) while maintaining high precision. Across multiple whole-genome long-read datasets, DuploMap aligned an additional 8-21% of the reads in segmental duplications with high confidence relative to Minimap2. Using DuploMap-aligned PacBio circular consensus sequencing reads, an additional 8.9 Mb of DNA sequence was mappable, variant calling achieved a higher F1 score and 14 713 additional variants supported by linked-read data were identified. Finally, we demonstrate that a significant fraction of PSVs in segmental duplications overlaps with variants and adversely impacts short-read variant calling.",33035301,PMC7641771,10.1093/nar/gkaa829,9
Highly-multiplexed and efficient long-amplicon PacBio and Nanopore sequencing of hundreds of full mitochondrial genomes,"Background:Mitochondrial genome sequences have become critical to the study of biodiversity. Genome skimming and other short-read based methods are the most common approaches, but they are not well-suited to scale up to multiplexing hundreds of samples. Here, we report on a new approach to sequence hundreds to thousands of complete mitochondrial genomes in parallel using long-amplicon sequencing. We amplified the mitochondrial genome of 677 specimens in two partially overlapping amplicons and implemented an asymmetric PCR-based indexing approach to multiplex 1,159 long amplicons together on a single PacBio SMRT Sequel II cell. We also tested this method on Oxford Nanopore Technologies (ONT) MinION R9.4 to assess if this method could be applied to other long-read technologies. We implemented several optimizations that make this method significantly more efficient than alternative mitochondrial genome sequencing methods.Results:With the PacBio sequencing data we recovered at least one of the two fragments for 96% of samples (~ 80-90%) with mean coverage ~ 1,500x. The ONT data recovered less than 50% of input fragments likely due to low throughput and the design of the Barcoded Universal Primers which were optimized for PacBio sequencing. We compared a single mitochondrial gene alignment to half and full mitochondrial genomes and found, as expected, increased tree support with longer alignments, though whole mitochondrial genomes were not significantly better than half mitochondrial genomes.Conclusions:This method can effectively capture thousands of long amplicons in a single run and be used to build more robust phylogenies quickly and effectively. We provide several recommendations for future users depending on the evolutionary scale of their system. A natural extension of this method is to collect multi-locus datasets consisting of mitochondrial genomes and several long nuclear loci at once.",37131128,PMC10155392,10.1186/s12864-023-09277-6,0
An efficient genotyper and star-allele caller for pharmacogenomics,"High-throughput sequencing provides sufficient means for determining genotypes of clinically important pharmacogenes that can be used to tailor medical decisions to individual patients. However, pharmacogene genotyping, also known as star-allele calling, is a challenging problem that requires accurate copy number calling, structural variation identification, variant calling, and phasing within each pharmacogene copy present in the sample. Here we introduce Aldy 4, a fast and efficient tool for genotyping pharmacogenes that uses combinatorial optimization for accurate star-allele calling across different sequencing technologies. Aldy 4 adds support for long reads and uses a novel phasing model and improved copy number and variant calling models. We compare Aldy 4 against the current state-of-the-art star-allele callers on a large and diverse set of samples and genes sequenced by various sequencing technologies, such as whole-genome and targeted Illumina sequencing, barcoded 10x Genomics, and Pacific Biosciences (PacBio) HiFi. We show that Aldy 4 is the most accurate star-allele caller with near-perfect accuracy in all evaluated contexts, and hope that Aldy remains an invaluable tool in the clinical toolbox even with the advent of long-read sequencing technologies.",36657977,PMC9977157,10.1101/gr.277075.122,7
