DOI,Title,year,Abstract,Semantic Scholar ID,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id,relevance_score,similarity,Cited Number,impact_factor,cited_Normalized,impact_Normalized,final_score
10.3390/cells13010079,Epigenetic Regulation of Neuroinflammation in Alzheimer's Disease.,2023.0,"Alzheimer's disease (AD) is a chronic and progressive neurodegenerative disease        and clinically manifests with cognitive decline and behavioral disabilities. Over        the past years, mounting studies have demonstrated that the inflammatory response        plays a key role in the onset and development of AD, and neuroinflammation has        been proposed as the third major pathological driving factor of AD, ranking after        the two well-known core pathologies, amyloid β (Aβ) deposits and neurofibrillary        tangles (NFTs). Epigenetic mechanisms, referring to heritable changes in gene        expression independent of DNA sequence alterations, are crucial regulators of        neuroinflammation which have emerged as potential therapeutic targets for AD.        Upon regulation of transcriptional repression or activation, epigenetic        modification profiles are closely involved in inflammatory gene expression and        signaling pathways of neuronal differentiation and cognitive function in central        nervous system disorders. In this review, we summarize the current knowledge        about epigenetic control mechanisms with a focus on DNA and histone modifications        involved in the regulation of inflammatory genes and signaling pathways in AD,        and the inhibitors under clinical assessment are also discussed.",fe26a1f72ae08793a0759b1e28c8d93a9acf70d6,https://www.semanticscholar.org/paper/fe26a1f72ae08793a0759b1e28c8d93a9acf70d6,38201283,PMC10778497,background,False,Cells,101600052,0.7950222492218018,0.02040816326530612,0,7.666,0.0,0.6733668341708543,0.3476749651982911
10.3390/antiox13050606,Role of Epigenetic Modulation in Neurodegenerative Diseases: Implications of        Phytochemical Interventions.,2024.0,"Epigenetics defines changes in cell function without involving alterations in DNA        sequence. Neuroepigenetics bridges neuroscience and epigenetics by regulating        gene expression in the nervous system and its impact on brain function. With the        increase in research in recent years, it was observed that alterations in the        gene expression did not always originate from changes in the genetic sequence,        which has led to understanding the role of epigenetics in neurodegenerative        diseases (NDDs) including Alzheimer's disease (AD) and Parkinson's disease (PD).        Epigenetic alterations contribute to the aberrant expression of genes involved in        neuroinflammation, protein aggregation, and neuronal death. Natural        phytochemicals have shown promise as potential therapeutic agents against NDDs        because of their antioxidant, anti-inflammatory, and neuroprotective effects in        cellular and animal models. For instance, resveratrol (grapes), curcumin        (turmeric), and epigallocatechin gallate (EGCG; green tea) exhibit        neuroprotective effects through their influence on DNA methylation patterns,        histone acetylation, and non-coding RNA expression profiles. Phytochemicals also        aid in slowing disease progression, preserving neuronal function, and enhancing        cognitive and motor abilities. The present review focuses on various epigenetic        modifications involved in the pathology of NDDs, including AD and PD, gene        expression regulation related to epigenetic alterations, and the role of specific        polyphenols in influencing epigenetic modifications in AD and PD.",09ba9876e12dd054b154eb3934e649d90b904c56,https://www.semanticscholar.org/paper/09ba9876e12dd054b154eb3934e649d90b904c56,38790711,PMC11118909,background,False,"Antioxidants (Basel, Switzerland)",101668981,0.7718434929847717,0.0,0,7.675,0.005025125628140704,0.7336683417085427,0.342357067995934
10.3390/ijms232315218,The Role of Epigenetics in Neuroinflammatory-Driven Diseases.,2022.0,"Neurodegenerative disorders are characterized by the progressive loss of central        and/or peripheral nervous system neurons. Within this context, neuroinflammation        comes up as one of the main factors linked to neurodegeneration progression. In        fact, neuroinflammation has been recognized as an outstanding factor for        Alzheimer's disease (AD), amyotrophic lateral sclerosis (ALS), Parkinson's        disease (PD), and multiple sclerosis (MS). Interestingly, neuroinflammatory        diseases are characterized by dramatic changes in the epigenetic profile, which        might provide novel prognostic and therapeutic factors towards neuroinflammatory        treatment. Deep changes in DNA and histone methylation, along with histone        acetylation and altered non-coding RNA expression, have been reported at the        onset of inflammatory diseases. The aim of this work is to review the current        knowledge on this field.",a99d8d56614d5a631620b3d2505dfec5f86092d4,https://www.semanticscholar.org/paper/a99d8d56614d5a631620b3d2505dfec5f86092d4,36499544,PMC9740629,background,True,International journal of molecular sciences,101092791,0.7062917351722717,0.035897435897435895,12,6.208,0.7738693467336684,0.5326633165829145,0.4222263944081433
10.3390/epigenomes7030020,Integrated Multimodal Omics and Dietary Approaches for the Management of        Neurodegeneration.,2023.0,"Neurodegenerative diseases, such as Alzheimer's disease and Parkinson's disease,        are caused by a combination of multiple events that damage neuronal function. A        well-characterized biomarker of neurodegeneration is the accumulation of        proteinaceous aggregates in the brain. However, the gradually worsening symptoms        of neurodegenerative diseases are unlikely to be solely due to the result of a        mutation in a single gene, but rather a multi-step process involving epigenetic        changes. Recently, it has been suggested that a fraction of epigenetic        alternations may be correlated to neurodegeneration in the brain. Unlike DNA        mutations, epigenetic alterations are reversible, and therefore raise the        possibilities for therapeutic intervention, including dietary modifications.        Additionally, reactive oxygen species may contribute to the pathogenesis of        Alzheimer's disease and Parkinson's disease through epigenetic alternation. Given        that the antioxidant properties of plant-derived phytochemicals are likely to        exhibit pleiotropic effects against ROS-mediated epigenetic alternation, dietary        intervention may be promising for the management of neurodegeneration in these        diseases. In this review, the state-of-the-art applications using single-cell        multimodal omics approaches, including epigenetics, and dietary approaches for        the identification of novel biomarkers and therapeutic approaches for the        treatment of neurodegenerative diseases are discussed.",36243fab94ffe699e924912d354673042fc35a42,https://www.semanticscholar.org/paper/36243fab94ffe699e924912d354673042fc35a42,37754272,PMC10529483,,False,Epigenomes,101736595,0.49991366267204285,0.0,0,0.0,0.010050251256281407,0.0,0.15148163649005508
10.1016/j.ceca.2022.102584,TREM2 and calcium signaling in microglia - is it relevant for Alzheimer's        disease?,2022.0,,5b2650573138f72ff1f0eebe94a0c7490e84a4b7,https://www.semanticscholar.org/paper/5b2650573138f72ff1f0eebe94a0c7490e84a4b7,35366517,PMC9701094,,False,Cell calcium,8006226,0.4473697543144226,0.1,0,4.69,0.01507537688442211,0.21608040201005024,0.20888429312849763
10.14336/AD.2023.0718-1,Autophagy in Neuroinflammation: A Focus on Epigenetic Regulation.,2023.0,"Neuroinflammation, characterized by the secretion of abundant inflammatory        mediators, pro-inflammatory polarization of microglia, and the recruitment of        infiltrating myeloid cells to foci of inflammation, drives or exacerbates the        pathological processes of central nervous system disorders, especially in        neurodegenerative diseases. Autophagy plays an essential role in        neuroinflammatory processes, and the underlaying physiological mechanisms are        closely correlated with neuroinflammation-related signals. Inhibition of mTOR and        activation of AMPK and FOXO1 enhance autophagy and thereby suppress NLRP3        inflammasome activity and apoptosis, leading to the relief of neuroinflammatory        response. And autophagy mitigates neuroinflammation mainly manifested by        promoting the polarization of microglia from a pro-inflammatory to an        anti-inflammatory state, reducing the production of pro-inflammatory mediators,        and up-regulating the levels of anti-inflammatory factors. Notably, epigenetic        modifications are intimately associated with autophagy and the onset and        progression of various brain diseases. Non-coding RNAs, including microRNAs,        circular RNAs and long noncoding RNAs, and histone acetylation have been reported        to adjust autophagy-related gene and protein expression to alleviate inflammation        in neurological diseases. The present review primarily focuses on the role and        mechanisms of autophagy in neuroinflammatory responses, as well as epigenetic        modifications of autophagy in neuroinflammation to reveal potential therapeutic        targets in central nervous system diseases.",5b083bcfa722f83f4ecacb0af7e361e721aa0e0a,https://www.semanticscholar.org/paper/5b083bcfa722f83f4ecacb0af7e361e721aa0e0a,37548945,PMC10917535,background,False,Aging and disease,101540533,0.4443838894367218,0.03225806451612903,2,9.968,0.3065326633165829,0.8693467336683417,0.32260030218520686
10.3390/cells10030546,An Analysis of the Neurological and Molecular Alterations Underlying the        Pathogenesis of Alzheimer's Disease.,2021.0,"Alzheimer's disease (AD) is a neurodegenerative disorder characterized by amyloid        beta (Aβ) plaques, neurofibrillary tangles, and neuronal loss. Unfortunately,        despite decades of studies being performed on these histological alterations,        there is no effective treatment or cure for AD. Identifying the molecular        characteristics of the disease is imperative to understanding the pathogenesis of        AD. Furthermore, uncovering the key causative alterations of AD can be valuable        in developing models for AD treatment. Several alterations have been implicated        in driving this disease, including blood-brain barrier dysfunction, hypoxia,        mitochondrial dysfunction, oxidative stress, glucose hypometabolism, and altered        heme homeostasis. Although these alterations have all been associated with the        progression of AD, the root cause of AD has not been identified. Intriguingly,        recent studies have pinpointed dysfunctional heme metabolism as a culprit of the        development of AD. Heme has been shown to be central in neuronal function,        mitochondrial respiration, and oxidative stress. Therefore, dysregulation of heme        homeostasis may play a pivotal role in the manifestation of AD and its various        alterations. This review will discuss the most common neurological and molecular        alterations associated with AD and point out the critical role heme plays in the        development of this disease.",4f8a5bbd910c8187e46da6045682d197499db9a8,https://www.semanticscholar.org/paper/4f8a5bbd910c8187e46da6045682d197499db9a8,33806317,PMC7998384,,False,Cells,101600052,0.40239211916923523,0.017793594306049824,10,7.666,0.6834170854271356,0.678391959798995,0.33210643025711006
10.1186/s13024-023-00664-x,Simple model systems reveal conserved mechanisms of Alzheimer's disease and        related tauopathies.,2023.0,"The lack of effective therapies that slow the progression of Alzheimer's disease        (AD) and related tauopathies highlights the need for a more comprehensive        understanding of the fundamental cellular mechanisms underlying these diseases.        Model organisms, including yeast, worms, and flies, provide simple systems with        which to investigate the mechanisms of disease. The evolutionary conservation of        cellular pathways regulating proteostasis and stress response in these organisms        facilitates the study of genetic factors that contribute to, or protect against,        neurodegeneration. Here, we review genetic modifiers of neurodegeneration and        related cellular pathways identified in the budding yeast Saccharomyces        cerevisiae, the nematode Caenorhabditis elegans, and the fruit fly Drosophila        melanogaster, focusing on models of AD and related tauopathies. We further        address the potential of simple model systems to better understand the        fundamental mechanisms that lead to AD and other neurodegenerative disorders.",8ac694528b9e9c93dbcdaee675c9ad6c1844fab2,https://www.semanticscholar.org/paper/8ac694528b9e9c93dbcdaee675c9ad6c1844fab2,37950311,PMC10638731,,False,Molecular neurodegeneration,101266600,0.39291906356811523,0.002890173410404624,2,18.879,0.31155778894472363,0.964824120603015,0.3104890748667572
10.3390/cimb45110540,Mitochondrial DNA and Inflammation in Alzheimer's Disease.,2023.0,"Mitochondrial dysfunction and neuroinflammation are implicated in the        pathogenesis of most neurodegenerative diseases, such as Alzheimer's disease        (AD). In fact, although a growing number of studies show crosstalk between these        two processes, there remain numerous gaps in our knowledge of the mechanisms        involved, which requires further clarification. On the one hand, mitochondrial        dysfunction may lead to the release of mitochondrial damage-associated molecular        patterns (mtDAMPs) which are recognized by microglial immune receptors and        contribute to neuroinflammation progression. On the other hand, inflammatory        molecules released by glial cells can influence and regulate mitochondrial        function. A deeper understanding of these mechanisms may help identify biomarkers        and molecular targets useful for the treatment of neurodegenerative diseases.        This review of works published in recent years is focused on the description of        the mitochondrial contribution to neuroinflammation and neurodegeneration, with        particular attention to mitochondrial DNA (mtDNA) and AD.",4b578b2a2528f50800ff11da3cb525494ffe95c0,https://www.semanticscholar.org/paper/4b578b2a2528f50800ff11da3cb525494ffe95c0,37998717,PMC10670154,,False,Current issues in molecular biology,100931761,0.38202613592147827,0.052083333333333336,1,2.976,0.21105527638190955,0.11055276381909548,0.18368238013992758
10.1186/s12974-023-02879-7,H3K18 lactylation of senescent microglia potentiates brain aging and Alzheimer's        disease through the NFκB signaling pathway.,2023.0,"Cellular senescence serves as a fundamental and underlying activity that drives        the aging process, and it is intricately associated with numerous age-related        diseases, including Alzheimer's disease (AD), a neurodegenerative aging-related        disorder characterized by progressive cognitive impairment. Although increasing        evidence suggests that senescent microglia play a role in the pathogenesis of AD,        their exact role remains unclear. In this study, we quantified the levels of        lactic acid in senescent microglia, and hippocampus tissues of naturally aged        mice and AD mice models (FAD(4T) and APP/PS1). We found lactic acid levels were        significantly elevated in these cells and tissues compared to their corresponding        counterparts, which increased the level of pan histone lysine lactylation (Kla).        We aslo identified all histone Kla sites in senescent microglia, and found that        both the H3K18 lactylation (H3K18la) and Pan-Kla were significantly up-regulated        in senescent microglia and hippocampus tissues of naturally aged mice and AD        modeling mice. We demonstrated that enhanced H3K18la directly stimulates the NFκB        signaling pathway by increasing binding to the promoter of Rela (p65) and        NFκB1(p50), thereby upregulating senescence-associated secretory phenotype (SASP)        components IL-6 and IL-8. Our study provides novel insights into the        physiological function of Kla and the epigenetic regulatory mechanism that        regulates brain aging and AD. Specifically, we have identified the H3K18la/NFκB        axis as a critical player in this process by modulating IL-6 and IL-8. Targeting        this axis may be a potential therapeutic strategy for delaying aging and AD by        blunting SASP.",03de4086ef962a7335b748d5e54c37b3be479fa3,https://www.semanticscholar.org/paper/03de4086ef962a7335b748d5e54c37b3be479fa3,37697347,PMC10494370,background,False,Journal of neuroinflammation,101222974,0.3698839247226715,0.0,8,9.587,0.6080402010050251,0.8090452261306532,0.32352799148715317
