Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor
Using machine learning approaches for multi-omics data analysis: A review,"With the development of modern high-throughput omic measurement platforms, it has become essential for biomedical studies to undertake an integrative (combined) approach to fully utilise these data to gain insights into biological systems. Data from various omics sources such as genetics, proteomics, and metabolomics can be integrated to unravel the intricate working of systems biology using machine learning-based predictive algorithms. Machine learning methods offer novel techniques to integrate and analyse the various omics data enabling the discovery of new biomarkers. These biomarkers have the potential to help in accurate disease prediction, patient stratification and delivery of precision medicine. This review paper explores different integrative machine learning methods which have been used to provide an in-depth understanding of biological systems during normal physiological functioning and in the presence of a disease. It provides insight and recommendations for interdisciplinary professionals who envisage employing machine learning skills in multi-omics studies.",33794304,,10.1016/j.biotechadv.2021.107739,157,Biotechnology advances,8403708,17.681
"Oxidative stress gene expression, DNA methylation, and gut microbiota interaction trigger Crohn's disease: a multi-omics Mendelian randomization study","Background:Oxidative stress (OS) is a key pathophysiological mechanism in Crohn's disease (CD). OS-related genes can be affected by environmental factors, intestinal inflammation, gut microbiota, and epigenetic changes. However, the role of OS as a potential CD etiological factor or triggering factor is unknown, as differentially expressed OS genes in CD can be either a cause or a subsequent change of intestinal inflammation. Herein, we used a multi-omics summary data-based Mendelian randomization (SMR) approach to identify putative causal effects and underlying mechanisms of OS genes in CD.Methods:OS-related genes were extracted from the GeneCards database. Intestinal transcriptome datasets were collected from the Gene Expression Omnibus (GEO) database and meta-analyzed to identify differentially expressed genes (DEGs) related to OS in CD. Integration analyses of the largest CD genome-wide association study (GWAS) summaries with expression quantitative trait loci (eQTLs) and DNA methylation QTLs (mQTLs) from the blood were performed using SMR methods to prioritize putative blood OS genes and their regulatory elements associated with CD risk. Up-to-date intestinal eQTLs and fecal microbial QTLs (mbQTLs) were integrated to uncover potential interactions between host OS gene expression and gut microbiota through SMR and colocalization analysis. Two additional Mendelian randomization (MR) methods were used as sensitivity analyses. Putative results were validated in an independent multi-omics cohort from the First Affiliated Hospital of Sun Yat-sen University (FAH-SYS).Results:A meta-analysis from six datasets identified 438 OS-related DEGs enriched in intestinal enterocytes in CD from 817 OS-related genes. Five genes from blood tissue were prioritized as candidate CD-causal genes using three-step SMR methods: BAD, SHC1, STAT3, MUC1, and GPX3. Furthermore, SMR analysis also identified five putative intestinal genes, three of which were involved in gene-microbiota interactions through colocalization analysis: MUC1, CD40, and PRKAB1. Validation results showed that 88.79% of DEGs were replicated in the FAH-SYS cohort. Associations between pairs of MUC1-Bacillus aciditolerans and PRKAB1-Escherichia coli in the FAH-SYS cohort were consistent with eQTL-mbQTL colocalization.Conclusions:This multi-omics integration study highlighted that OS genes causal to CD are regulated by DNA methylation and host-microbiota interactions. This provides evidence for future targeted functional research aimed at developing suitable therapeutic interventions and disease prevention.",37170220,PMC10173549,10.1186/s12916-023-02878-8,18,BMC medicine,101190723,11.15
Artificial intelligence-based multi-omics analysis fuels cancer precision medicine,"With biotechnological advancements, innovative omics technologies are constantly emerging that have enabled researchers to access multi-layer information from the genome, epigenome, transcriptome, proteome, metabolome, and more. A wealth of omics technologies, including bulk and single-cell omics approaches, have empowered to characterize different molecular layers at unprecedented scale and resolution, providing a holistic view of tumor behavior. Multi-omics analysis allows systematic interrogation of various molecular information at each biological layer while posing tricky challenges regarding how to extract valuable insights from the exponentially increasing amount of multi-omics data. Therefore, efficient algorithms are needed to reduce the dimensionality of the data while simultaneously dissecting the mysteries behind the complex biological processes of cancer. Artificial intelligence has demonstrated the ability to analyze complementary multi-modal data streams within the oncology realm. The coincident development of multi-omics technologies and artificial intelligence algorithms has fuelled the development of cancer precision medicine. Here, we present state-of-the-art omics technologies and outline a roadmap of multi-omics integration analysis using an artificial intelligence strategy. The advances made using artificial intelligence-based multi-omics approaches are described, especially concerning early cancer screening, diagnosis, response assessment, and prognosis prediction. Finally, we discuss the challenges faced in multi-omics analysis, along with tentative future trends in this field. With the increasing application of artificial intelligence in multi-omics analysis, we anticipate a shifting paradigm in precision medicine becoming driven by artificial intelligence-based multi-omics technologies.",36596352,,10.1016/j.semcancer.2022.12.009,26,Seminars in cancer biology,9010218,17.012
Integrative Analysis of Multi-omics Data for Discovery and Functional Studies of Complex Human Diseases,"Complex and dynamic networks of molecules are involved in human diseases. High-throughput technologies enable omics studies interrogating thousands to millions of makers with similar biochemical properties (eg, transcriptomics for RNA transcripts). However, a single layer of ""omics"" can only provide limited insights into the biological mechanisms of a disease. In the case of genome-wide association studies, although thousands of single nucleotide polymorphisms have been identified for complex diseases and traits, the functional implications and mechanisms of the associated loci are largely unknown. Additionally, the genomic variants alone are not able to explain the changing disease risk across the life span. DNA, RNA, protein, and metabolite often have complementary roles to jointly perform a certain biological function. Such complementary effects and synergistic interactions between omic layers in the life course can only be captured by integrative study of multiple molecular layers. Building upon the success in single-omics discovery research, population studies started adopting the multi-omics approach to better understanding the molecular function and disease etiology. Multi-omics approaches integrate data obtained from different omic levels to understand their interrelation and combined influence on the disease processes. Here, we summarize major omics approaches available in population research, and review integrative approaches and methodologies interrogating multiple omic layers, which enhance the gene discovery and functional analysis of human diseases. We seek to provide analytical recommendations for different types of multi-omics data and study designs to guide the emerging multi-omic research, and to suggest improvement of the existing analytical methods.",26915271,PMC5742494,10.1016/bs.adgen.2015.11.004,161,Advances in genetics,370421,3.88
A roadmap for multi-omics data integration using deep learning,"High-throughput next-generation sequencing now makes it possible to generate a vast amount of multi-omics data for various applications. These data have revolutionized biomedical research by providing a more comprehensive understanding of the biological systems and molecular mechanisms of disease development. Recently, deep learning (DL) algorithms have become one of the most promising methods in multi-omics data analysis, due to their predictive performance and capability of capturing nonlinear and hierarchical features. While integrating and translating multi-omics data into useful functional insights remain the biggest bottleneck, there is a clear trend towards incorporating multi-omics analysis in biomedical research to help explain the complex relationships between molecular layers. Multi-omics data have a role to improve prevention, early detection and prediction; monitor progression; interpret patterns and endotyping; and design personalized treatments. In this review, we outline a roadmap of multi-omics integration using DL and offer a practical perspective into the advantages, challenges and barriers to the implementation of DL in multi-omics data.",34791014,PMC8769688,10.1093/bib/bbab454,55,Briefings in bioinformatics,100912837,13.994
Integrated multi-omics profiling yields a clinically relevant molecular classification for esophageal squamous cell carcinoma,"Integrated molecular analysis of human cancer has yielded molecular classification for precise management of cancer patients. Here, we analyzed the whole genomic, epigenomic, transcriptomic, and proteomic data of 155 esophageal squamous cell carcinomas (ESCCs). Multi-omics analysis led to the classification of ESCCs into four subtypes: cell cycle pathway activation, NRF2 oncogenic activation, immune suppression (IS), and immune modulation (IM). IS and IM cases were highly immune infiltrated but differed in the type and distribution of immune cells. IM cases showed better response to immune checkpoint blockade therapy than other subtypes in a clinical trial. We further developed a classifier with 28 features to identify the IM subtype, which predicted anti-PD-1 therapy response with 85.7% sensitivity and 90% specificity. These results emphasize the clinical value of unbiased molecular classification based on multi-omics data and have the potential to further improve the understanding and treatment of ESCC.",36584672,,10.1016/j.ccell.2022.12.004,23,Cancer cell,101130617,38.585
Cell-free multi-omics analysis reveals potential biomarkers in gastrointestinal cancer patients' blood,"During cancer progression, tumorigenic and immune signals are spread through circulating molecules, such as cell-free DNA (cfDNA) and cell-free RNA (cfRNA) in the blood. So far, they have not been comprehensively investigated in gastrointestinal cancers. Here, we profile 4 categories of cell-free omics data from patients with colorectal cancer and patients with stomach adenocarcinoma and then assay 15 types of genomic, epigenomic, and transcriptomic variations. We find that multi-omics data are more appropriate for detection of cancer genes compared with single-omics data. In particular, cfRNAs are more sensitive and informative than cfDNAs in terms of detection rate, enriched functional pathways, etc. Moreover, we identify several peripheral immune signatures that are suppressed in patients with cancer. Specifically, we establish a γδ-T cell score and a cancer-associated-fibroblast (CAF) score, providing insights into clinical statuses like cancer stage and survival. Overall, we reveal a cell-free multi-molecular landscape that is useful for blood monitoring in personalized cancer treatment.",37992683,PMC10694666,10.1016/j.xcrm.2023.101281,1,Cell reports. Medicine,101766894,16.988
Machine learning for precision medicine,"Precision medicine is an emerging approach to clinical research and patient care that focuses on understanding and treating disease by integrating multi-modal or multi-omics data from an individual to make patient-tailored decisions. With the large and complex datasets generated using precision medicine diagnostic approaches, novel techniques to process and understand these complex data were needed. At the same time, computer science has progressed rapidly to develop techniques that enable the storage, processing, and analysis of these complex datasets, a feat that traditional statistics and early computing technologies could not accomplish. Machine learning, a branch of artificial intelligence, is a computer science methodology that aims to identify complex patterns in data that can be used to make predictions or classifications on new unseen data or for advanced exploratory data analysis. Machine learning analysis of precision medicine's multi-modal data allows for broad analysis of large datasets and ultimately a greater understanding of human health and disease. This review focuses on machine learning utilization for precision medicine's ""big data"", in the context of genetics, genomics, and beyond.",33091314,,10.1139/gen-2020-0131,109,Genome,8704544,2.449
Multi-omics research strategies in ischemic stroke: A multidimensional perspective,"Ischemic stroke (IS) is a multifactorial and heterogeneous neurological disorder with high rate of death and long-term impairment. Despite years of studies, there are still no stroke biomarkers for clinical practice, and the molecular mechanisms of stroke remain largely unclear. The high-throughput omics approach provides new avenues for discovering biomarkers of IS and explaining its pathological mechanisms. However, single-omics approaches only provide a limited understanding of the biological pathways of diseases. The integration of multiple omics data means the simultaneous analysis of thousands of genes, RNAs, proteins and metabolites, revealing networks of interactions between multiple molecular levels. Integrated analysis of multi-omics approaches will provide helpful insights into stroke pathogenesis, therapeutic target identification and biomarker discovery. Here, we consider advances in genomics, transcriptomics, proteomics and metabolomics and outline their use in discovering the biomarkers and pathological mechanisms of IS. We then delineate strategies for achieving integration at the multi-omics level and discuss how integrative omics and systems biology can contribute to our understanding and management of IS.",36087702,,10.1016/j.arr.2022.101730,12,Ageing research reviews,101128963,11.788
DIABLO: an integrative approach for identifying key molecular drivers from multi-omics assays,"Motivation:In the continuously expanding omics era, novel computational and statistical strategies are needed for data integration and identification of biomarkers and molecular signatures. We present Data Integration Analysis for Biomarker discovery using Latent cOmponents (DIABLO), a multi-omics integrative method that seeks for common information across different data types through the selection of a subset of molecular features, while discriminating between multiple phenotypic groups.Results:Using simulations and benchmark multi-omics studies, we show that DIABLO identifies features with superior biological relevance compared with existing unsupervised integrative methods, while achieving predictive performance comparable to state-of-the-art supervised approaches. DIABLO is versatile, allowing for modular-based analyses and cross-over study designs. In two case studies, DIABLO identified both known and novel multi-omics biomarkers consisting of mRNAs, miRNAs, CpGs, proteins and metabolites.Availability and implementation:DIABLO is implemented in the mixOmics R Bioconductor package with functions for parameters' choice and visualization to assist in the interpretation of the integrative analyses, along with tutorials on http://mixomics.org and in our Bioconductor vignette.Supplementary information:Supplementary data are available at Bioinformatics online.",30657866,PMC6735831,10.1093/bioinformatics/bty1054,284,"Bioinformatics (Oxford, England)",9808944,6.931
